ID,Title,Authors,Abstract
38914046,Green gram soup and barley porridge as dietary interventions for management of premenstrual syndrome in adolescent girl: A case report.,"Abhijeet Shirkande A, Pawar M, Sarjerao Shirkande A, Yeola G","1. J Ayurveda Integr Med. 2024 Jul-Aug;15(4):100912. doi:  10.1016/j.jaim.2024.100912. Epub 2024 Jun 23.  Green gram soup and barley porridge as dietary interventions for management of  premenstrual syndrome in adolescent girl: A case report.  Abhijeet Shirkande A(1), Pawar M(2), Sarjerao Shirkande A(3), Yeola G(4).  Author information: (1)Department of Rasa Shastra and Bhaishajya Kalpana (Ayurvedic Iatrochemistry &  Pharmaceuticals Science), Dr. D. Y. Patil College of Ayurved & Research Center,  Pimpri, Pune of Dr. D. Y. Patil Vidyapeeth (Deemed to be University), Pimpri,  Pune, India; Shree VishwAngad Ayurved Panchakarma Yoga Clinic & Research Center,  Sahakar Nagar, Pune, India. (2)Department of Rasa Shastra and Bhaishajya Kalpana (Ayurvedic Iatrochemistry &  Pharmaceuticals Science Bharati Vidyapeeth (Deemed to be University) College of  Ayurved, Pune, India. (3)Department of Dravyaguna (Ayurvedic Materia Medica & Pharmacology), Dr. D. Y.  Patil College of Ayurved & Research Center, Pimpri, Pune of Dr. D. Y. Patil  Vidyapeeth (Deemed to be University), Pimpri, Pune, India; Shree VishwAngad  Ayurved Panchakarma Yoga Clinic & Research Center, Sahakar Nagar, Pune, India.  Electronic address: drabhijitshirkande@gmail.com. (4)Department of Kayachikitsa, Dr. D. Y. Patil College of Ayurved and Research  Center, Dr. D. Y. Patil Vidyapeeth (Deemed to be University) Pimpri, Pune,  India.  Women suffer from various conditions related to menstrual cycle due to changing  lifestyle, bad food habits, physical and mental stress. Pre Menstrual Syndrome  (PMS) is a combination of physical and emotional symptoms that many women get  one or two weeks before the start of their menstrual period. In the present  study, 14 years old female patient having symptoms-lower abdominal pain,  backache, breast tenderness, constipation, pimples, tiredness and unexplained  anger typically in luteal phase from last 4 months, was diagnosed with mild to  moderate symptoms of PMS. After proper analysis, she was suggested to consume  light to digest dietary articles advised in classical texts for minimizing  specific symptoms during menstruation.Thus Green gram Soup and Barley porridge  was prescribed to her as lunch and dinner respectively for first three days of  menstruation cycle for continuous 6 cycles. It is observed that consumption of  these dietary products during the menstruation time period assisted to minimize  the symptoms of PMS. This illustrates that there is a wide scope to explore the  ayurvedic dietary regimen recommended during menstruation which can be used more  rationally to suit menstrual disorders.  Copyright © 2024 The Authors. Published by Elsevier B.V. All rights reserved.  DOI: 10.1016/j.jaim.2024.100912 PMCID: PMC11250864 PMID: 38914046  Conflict of interest statement: Conflict of interest None."
30335340,Premenstrual Dysphoric Disorder.,"Mishra S, Elliott H, Marwaha R","1. Premenstrual Dysphoric Disorder.  Mishra S(1), Elliott H(2), Marwaha R(3).  In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2025  Jan–. 2023 Feb 19.  Author information: (1)MetroHealth Medical Center (2)Campbell University School of Medicine (3)Case Western Reserve Un/MetroHealth MC  Premenstrual symptoms include a constellation of mood, behavioral, and physical  indications that occur in a cyclic pattern prior to menstruation and then wane  off after the menstrual period in women of reproductive age. Most females have  only mild discomfort, and symptoms do not interfere with their personal, social,  or professional lives; however, 5% to 8% of women have moderate-to-severe  symptoms that can cause significant distress and functional impairment.   Although premenstrual symptoms have been recognized for a long time, the  diagnostic criteria have been specified only recently. The nomenclature for  premenstrual disorders has changed significantly over the years, evolving from  ""menses moodiness"" in the 18th century to ""premenstrual tension"" in the early  part of the 19th century to finally, ""premenstrual syndrome"" in the 1950s. While  some discomfort prior to menses is quite common, premenstrual syndrome (PMS)  includes the subset of women who experience symptoms that are severe enough  to impact daily activities and functioning. Late luteal dysphoric disorder  (LLDD), now known as premenstrual dysphoric disorder (PMDD), accounts for the  most severe form of PMS with the greatest impairment of women’s functioning and  perceived quality of life, often prompting them to seek treatment. Anyone who  has ovaries can have PMDD, including transgender individuals. Currently, PMDD  is listed in the Diagnostic and Statistical Manual of Mental Disorders, 5th  Edition (DSM-5) as a separate entity under Depressive disorders, with the  criteria for diagnosis as follows: Criterion A - At least 5 of the following 11  symptoms (including at least 1 of the first 4 listed) should be present: 1.  Markedly depressed mood, feelings of hopelessness, or self-deprecating thoughts.  2. Marked anxiety, tension, feelings of being “keyed up” or “on edge”. 3. Marked  affective lability. 4. Persistent and marked anger or irritability or increased  interpersonal conflicts. 5. Decreased interest in usual activities (eg, work,  school, friends, and hobbies). 6. Subjective sense of difficulty in  concentrating. 7. Lethargy, easy fatigability, or marked lack of energy. 8.  Marked change in appetite, overeating, or specific food cravings. 9. Hypersomnia  or insomnia. 10. A subjective sense of being overwhelmed or out of control. 11.  Other physical symptoms, such as breast tenderness or swelling, headaches, joint  or muscle pain, a sensation of bloating, or weight gain. Criterion B  - symptoms  severe enough to interfere significantly with social, occupational, sexual, or  scholastic functioning. Criterion C  - symptoms discretely related to the  menstrual cycle and must not merely represent an exacerbation of the symptoms of  another disorder, such as major depressive disorder, panic disorder, dysthymic  disorder, or a personality disorder (although the symptoms may be superimposed  on those of these disorders). Criterion D - criteria A, B, and C are confirmed  by prospective daily ratings during at least 2 consecutive symptomatic menstrual  cycles. The diagnosis may be made provisionally before this confirmation.  Women with moderate-to-severe PMS or PMDD experience more quality-of-life  detriments and work-productivity losses and incur greater healthcare costs than  women with no or only mild symptoms.  Copyright © 2025, StatPearls Publishing LLC.  PMID: 30335340  Conflict of interest statement: Disclosure: Sanskriti Mishra declares no  relevant financial relationships with ineligible companies. Disclosure: Harold  Elliott declares no relevant financial relationships with ineligible companies.  Disclosure: Raman Marwaha declares no relevant financial relationships with  ineligible companies."
33209157,Oral contraceptive use and premenstrual syndrome among sexually active female university students in Cameroon.,"Akoku DA, Vukugah TA, Tihnje MA, Nzubepie IB","1. Pan Afr Med J. 2020 Aug 24;36:333. doi: 10.11604/pamj.2020.36.333.25078.  eCollection 2020.  Oral contraceptive use and premenstrual syndrome among sexually active female  university students in Cameroon.  Akoku DA(1)(2), Vukugah TA(3), Tihnje MA(4), Nzubepie IB(5).  Author information: (1)Health Alliance International, Abidjan, Côte d'Ivoire. (2)Department of Global Health, University of Washington, Seattle, WA, USA. (3)Elizabeth Glaser Pediatric AIDS Foundation, Yaounde, Cameroon. (4)ICAP, Columbia University, Cameroon Office, Yaounde, Cameroon. (5)Center for Global Health Practice and Impact-HIV Project, Georgetown  University, Yaounde, Cameroon.  INTRODUCTION: premenstrual syndrome (PMS) is a prevalent health problem  affecting women of reproductive age and some young women use oral contraceptive  pills (OCPs) to prevent unwanted pregnancy. However, the association between OCP  use and the experience of symptoms of PMS has not been studied in Cameroon. We  examined the association between the use of OCPs and PMS among female university  students in Cameroon. METHODS: we used data extracted from a larger study on sexual and reproductive  health that was conducted between July and August 2018 among female university  students at the University of Yaoundé 1, Cameroon. A pre-tested, validated and  paper-based self-administered questionnaire was used to collect data. We  extracted data (demographic and health characteristics, contraceptive use and  experience of PMS) for the 424 sexually active students who participated in the  larger study. We used Poisson regression analysis to examine the association  between OCP use and PMS and conducted stratified analysis to determine effect  modification. The level of statistical significance was set at p≤0.05. RESULTS: the median age of the 424 sexually active female university students  was 23 years (IQR=21-25). About 77.8% of participants self-reported to have  experienced symptoms of PMS prior to their last menstrual period. The most  commonly reported symptoms of PMS were breast tenderness (55.7%), acne/pimples  (39.2%) and abdominal pain (31.1%). After adjusting for confounders in  multivariate analysis, we found a statistically significant relationship between  the use of OCPs and experience of symptoms of PMS. Current OCP users had a  slightly increased risk (PR=1.21; 95%CI, 1.09-1.32, p<0.001) of developing  symptoms of PMS compared to non-pill users. We found that age modified the  effect of this association. Among older students (≥25 years), the direction of  the effect was strongly positive and statistically significant (APR=1.32; 95%CI,  1.12-1.56, p=0.001). CONCLUSION: the proportion of female university students who reported to have  experienced symptoms of PMS prior to their last menstrual period was high. The  use of OCPs was positively associated with the risk of developing symptoms of  PMS and this relationship was modified by age. Further studies in Cameroon and  other sub-Saharan African countries are required to understand this  relationship.  Copyright: Derick Akompab Akoku et al.  DOI: 10.11604/pamj.2020.36.333.25078 PMCID: PMC7648490 PMID: 33209157 [Indexed for MEDLINE]  Conflict of interest statement: The authors declare no competing interests."
29783630,Does Molimina Indicate Ovulation? Prospective Data in a Hormonally Documented Single-Cycle in Spontaneously Menstruating Women.,"Prior JC, Konishi C, Hitchcock CL, Kingwell E, Janssen P, Cheung AP, Fairbrother N, Goshtasebi A","1. Int J Environ Res Public Health. 2018 May 18;15(5):1016. doi:  10.3390/ijerph15051016.  Does Molimina Indicate Ovulation? Prospective Data in a Hormonally Documented  Single-Cycle in Spontaneously Menstruating Women.  Prior JC(1)(2)(3)(4), Konishi C(5), Hitchcock CL(6), Kingwell E(7)(8), Janssen  P(9)(10)(11), Cheung AP(12)(13)(14), Fairbrother N(15), Goshtasebi A(16).  Author information: (1)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. jerilynn.prior@ubc.ca. (2)Division of Endocrinology, Department of Medicine, University of British  Columbia, Vancouver, BC V5Z 1M9, Canada. jerilynn.prior@ubc.ca. (3)School of Population and Public Health, University of British Columbia;  Vancouver, BC V6T 1Z3, Canada. jerilynn.prior@ubc.ca. (4)BC Women's Health Research Institute, Vancouver, BC V6H 3N1, Canada.  jerilynn.prior@ubc.ca. (5)Department of Educational and Counselling Psychology, McGill University,  Montreal, QC H3A 0G4, Canada. chiaki.konishi@mcgill.ca. (6)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. chris@hitchcock.com. (7)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. elainejk@mail.ubc.ca. (8)Division of Neurology, Department of Medicine, University of British  Columbia, Vancouver, BC V6T 2B5, Canada. elainejk@mail.ubc.ca. (9)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. patti.janssen@ubc.ca. (10)School of Population and Public Health, University of British Columbia;  Vancouver, BC V6T 1Z3, Canada. patti.janssen@ubc.ca. (11)BC Women's Health Research Institute, Vancouver, BC V6H 3N1, Canada.  patti.janssen@ubc.ca. (12)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. acheung@fertilitywithgrace.com. (13)Division of Reproductive Endocrinology and Infertility, University of  British Columbia, Vancouver, BC V6T 2A1, Canada. acheung@fertilitywithgrace.com. (14)Grace Fertility Centre, Vancouver, BC V5Z 1G1, Canada.  acheung@fertilitywithgrace.com. (15)Department of Psychiatry, University of British Columbia, Vancouver, BC V6T  2A1, Canada. nicholef@uvic.ca. (16)Centre for Menstrual Cycle and Ovulation Research, Vancouver, BC V5Z 1M9,  Canada. azita.goshtasebi@ubc.ca.  Approximately 33% of normal-length (21⁻35 days) cycles have subclinical  ovulatory disturbances and lack sufficient progesterone, although their normal  length ensures enough estrogen. Subclinical ovulatory disturbances are related  to significant premenopausal spine bone loss (-0.86%/year). Molimina,  non-distressing premenstrual experiences, may detect ovulation within  normal-length cycles. This prospective study assessed the relationship between  molimina and ovulation. After 1-cycle of daily diary and first morning urine  collections, women answered the Molimina Question (MQ): ""Can you tell by the way  you feel that your period is coming?"" and were invited to share (a) predictive  premenstrual experience(s). A 3-fold increase in follicular-luteal pregnanediol  levels confirmed ovulation. In 610 spontaneously menstruating women (not on  hormonal contraception, mean age 31.5 ± 5.3, menarche age 12.7 ± 1.5, cycle  length [CL] 29 days, MQ positive in 89%), reported premenstrual experiences  which included negative moods (62%), cramps (48%), bloating (39%), and front  (26%) or axillary (25%) breast tenderness. Of 432 women with  pregnanediol-documented cycles, 398 (92%) were ovulatory (CL: 29 ± 5) and 34  (8%) had ovulatory disturbances (CL: 32 ± 14). Women with/without ovulatory  cycles were similar in parity, body mass index, smoking, dietary restraint and  the MQ; ovulatory-disturbed cycles were longer. Molimina did not confirm  ovulation. A non-invasive, inexpensive ovulation indicator is needed to prevent  osteoporosis.  DOI: 10.3390/ijerph15051016 PMCID: PMC5982055 PMID: 29783630 [Indexed for MEDLINE]  Conflict of interest statement: The authors declare no conflict of interest. The  founding sponsors had no role in the design of the study; in the collection,  analyses, or interpretation of data; in the writing of the manuscript, and in  the decision to publish the results."
25030732,[Efficacy and safety of a combined oral contraceptive containing drospirenone 3 mg and ethinylestradiol 20 µg in a 24+4-day regimen in China].,"Caiyan W, Wen D, Qinping L, Huan S, Ziyan H, Liangdan T, Zheng'ai X, Yufeng L, Shulan Z, Baihua D, Xiaoyan X, Mulan R, Xiaomao L, Youdi X, Zhisong M, Meiqing X, Hongyu W, Zirong H","1. Zhonghua Fu Chan Ke Za Zhi. 2014 May;49(5):355-9.  [Efficacy and safety of a combined oral contraceptive containing drospirenone 3  mg and ethinylestradiol 20 µg in a 24+4-day regimen in China].  [Article in Chinese]  Caiyan W(1), Wen D, Qinping L, Huan S, Ziyan H, Liangdan T, Zheng'ai X, Yufeng  L, Shulan Z, Baihua D, Xiaoyan X, Mulan R, Xiaomao L, Youdi X, Zhisong M,  Meiqing X, Hongyu W, Zirong H(2).  Author information: (1)Department of Family Planning, Obstetrics and Gynecology Hospital, Fudan  University, Shanghai 200011, China. (2)Email: zirong1130@hotmail.com.  OBJECTIVE: To assess the efficacy, bleeding pattern, cycle control and safety of  a combined oral contraceptive (YAZ) containing drospirenone 3 mg and  ethinylestradiol 20 µg in a 24+4-day regimen in China. METHODS: This is a multi-center, open, one-label study. Healthy females aged  18-45 years received YAZ for 13 cycles. Following-ups were scheduled during the  treatment phase on Day 12-19 of Cycle 1, 4, 7 and 10 and 10-17 days after  completing the study. The efficacy variables were the number of unintended  pregnancies, bleeding pattern and cycle control. The safety variables were  adverse events (AE), lab examinations, physical and gynecological examinations,  vital signs and body weights and questionnaires. RESULTS: Four pregnancies occurred among 675 women for 603.78 women-years,  resulting in a Pearl index (PI) of 0.7 and adjusted PI of 0.6. The cumulative  1-year pregnancy rate was 0.66%. The mean number of bleeding/spotting days was  (26.3 ± 12.4) days in reference period 1 and (15.4 ± 5.5) days in reference  period 4. 94.2% (582/618)- 96.8% (538/558) subjects experienced scheduled  bleeding. The mean duration of scheduled bleeding decreased from (5.9 ± 3.2) to  (5.0 ± 1.6) days. The percentage of women with intermenstrual bleeding decreased  from 14.5% (90/621) at Cycle 1 to 2.3% (13/558) at Cycle 12. The common AE  relating treatment include nausea (3.4%, 23/675), breast tenderness (1.2%,  8/675), dizzy (1.2%), vagina bleeding (1.2%). No serious AE relating treatment  occurred. 85.6% (542/633) subjects were satisfied or very satisfied with the  study treatment. CONCLUSION: YAZ is highly effective, acceptable and safe for Chinese women.  PMID: 25030732 [Indexed for MEDLINE]"
24250433,Comparison of piascledine (avocado and soybean oil) and hormone replacement therapy in menopausal-induced hot flashing.,"Panahi Y, Beiraghdar F, Kashani N, Baharie Javan N, Dadjo Y","1. Iran J Pharm Res. 2011 Fall;10(4):941-51.  Comparison of piascledine (avocado and soybean oil) and hormone replacement  therapy in menopausal-induced hot flashing.  Panahi Y(1), Beiraghdar F, Kashani N, Baharie Javan N, Dadjo Y.  Author information: (1)Chemical Injuries Research Center, Baqiyatallah University of Medical  Sciences, Tehran, Iran.  Different symptoms in Climacteric period, includes hot flash. Hormone  replacement therapy (HRT) is common therapy for relief of menopausal symptoms  but has possible contraindications and side effects. Recently Piascledine  (combination of Avocado oil with Soybean oil) showed effects in reducing hot  flash severity. Present study designed to compare the effects of HRT with  Piascledine in treatment of hot flash. The cases of this study were sixty-six  women at the age range of 40 to 70 years and complaints of menopause-induced hot  flashing, whose last menstruation dated at least 6 months prior to the beginning  of the study. The patients in this open label clinical trial, randomized to  receive Piascledine capsule 1 mg or HRT (0.625 mg oral daily Conjugated Estrogen  tablets, plus 2.5 mg continuous oral daily Medroxyprogesterone Acetate tablets)  for 2 month. Hot flash property and severity was assessed via a daily check list  and Visual analog scale. Climacteric symptom was measured before and after  intervention using Greene Climacteric Scale (GCS) and Blatt-kupperman Menopausal  Index (BKMI). Thirty-three eligible patients were allocated in each group. From  the Piascledine group, one patient and from the HRT group, 16 patients weren›t  willing to attend the study; therefore, 32 and 17 woman received treatment in  Piascledine and HRT groups. 4 patients were withdrawn for vaginal bleeding and  one for breast tenderness from HTR group. Hot flash severity in both groups  decreased during the time similarly. With regard to GCS (p = 0.571) and BMKI (p  = 0.891), the outcome was similar among the two groups. Due to low HRT  compliance and its possible risks in long period of time and considering the  same activity of soybean supplement and HRT in relieving the hot flash as  menopausal symptoms in women, it seems that soybean supplements can be an  alternative therapy to hormone.  PMCID: PMC3813060 PMID: 24250433"
21874732,Psychophysical characteristics of the premenstrual period.,"Stanicić A, Jokić-Begić N","1. Coll Antropol. 2010 Dec;34(4):1421-5.  Psychophysical characteristics of the premenstrual period.  Stanicić A(1), Jokić-Begić N.  Author information: (1)Center for Clinical Psychology, Zagreb, Croatia. ana.stanicic@gmail.com  Aim of this study was to investigate psychophysical characteristics of the  premenstrual period in regard to the period following menstruation.  Psychophysical characteristics are defined as assessments of the physical state  (fatigue, breast tenderness, bloating and lack of sleep), emotional state  (happiness, anger, sadness, irritability, anxiety and distraction) and general  assessments of physical attractiveness and satisfaction with oneself Diary of  psychophysical characteristics was designed for this study as well as a  socio-demographic questionnaire and a menstrual cycle calendar. 51 healthy,  non-help-seeking women, aged 21-46 kept a diary of psychophysical  characteristics a week before menstruation and four days one week after the  onset of menstruation, during two menstrual cycles. The premenstrual period is  characterized by the intensification of negative emotional states, the decline  of positive emotional states, and the worsening of the general self-image  through the decline of the perception of physical attractiveness and  satisfaction with oneself In conclusion, the premenstrual period is not marked  only by the mood-swings but also by the changes in the cognitive representation  of self  PMID: 21874732 [Indexed for MEDLINE]"
20862819,A prospective follow-up of two 21/7 cycles followed by two extended regimen 84/7 cycles with contraceptive pills containing ethinyl estradiol and drospirenone.,"Seidman DS, Yeshaya A, Ber A, Amodai I, Feinstein I, Finkel I, Gordon N, Porat N, Samuel D, Shiran-Makler E, Wolman I","1. Isr Med Assoc J. 2010 Jul;12(7):400-5.  A prospective follow-up of two 21/7 cycles followed by two extended regimen 84/7  cycles with contraceptive pills containing ethinyl estradiol and drospirenone.  Seidman DS(1), Yeshaya A, Ber A, Amodai I, Feinstein I, Finkel I, Gordon N,  Porat N, Samuel D, Shiran-Makler E, Wolman I.  Author information: (1)Department of Obstetrics and Gynecology, Sheba Medical Center, Tel Hashomer,  Israel. dseidman@tau.ac.il  BACKGROUND: Continuous use of combined oral contraceptives is currently  attracting growing interest as a means of improving menstrual related symptoms  and reducing the number of bleeding days. OBJECTIVES: To evaluate bleeding patterns, menstrual symptoms and quality of  life with an extended 84/7 oral contraceptive regimen versus 21/7 cycles. METHODS: In two consecutive run-in cycles, 30 microg ethinyl estradiol and 3 mg  drospirenone tablets taken on days 1-21 were followed by a tablet-free period  from days 22 to 28 of each cycle and then by two 84 day cycles of pill use with  a 7 day tablet-free interval. The primary outcome was the total number of  bleeding/spotting days. Secondary outcomes were severity of daily symptoms,  general well-being determined by the PGWBI questionnaire, and overall treatment  satisfaction. RESULTS: Of the 137 women invited to participate in the study 109 (aged 18-40  years) were enrolled. The number of bleeding days decreased by about one-third  from a calculated 31.8 days of bleeding under a cyclic 21/7 regimen to an  expected total of 21.8 days for the extended 84/7 regimen. The incidence of  menorrhagia, intermenstrual bleeding, dysmenorrhea, abdominal bloating, breast  tenderness, depressive moods and irritability - when compared at enrollment and  at the end of the second extended study period--was significantly lower (P <  0.005) among women on the continuous pill regimen. The median (range) global  PGWBI scores were not substantially different before and after the extended use  cycles: 78.2 (39.1-96.4) and 77.3 (30.9-96.4), respectively. Body weight and  skin condition also remained constant. At the completion of the study: 65.5% of  the women were either highly satisfied (41.4%) or satisfied (24.1%) with the  extended regimen. CONCLUSIONS: The extended 84/7 regimen was found to be satisfactory for the  majority of participants and was associated with a decrease in the number of  bleeding days and an improvement in menstrual symptoms compared to 21/7 cycles.  PMID: 20862819 [Indexed for MEDLINE]"
18253983,Cyclical progestogens for heavy menstrual bleeding.,"Lethaby A, Irvine G, Cameron I","1. Cochrane Database Syst Rev. 2008 Jan 23;(1):CD001016. doi:  10.1002/14651858.CD001016.pub2.  Cyclical progestogens for heavy menstrual bleeding.  Lethaby A(1), Irvine G, Cameron I.  Author information: (1)University of Auckland, O&G FMHS, Grafton Rd, Private Bag 92019, Auckland,  New Zealand 1142. a.lethaby@auckland.ac.nz  Update in     Cochrane Database Syst Rev. 2019 Aug 14;8:CD001016. doi:  10.1002/14651858.CD001016.pub3.  Update of     Cochrane Database Syst Rev. 2000;(2):CD001016. doi:  10.1002/14651858.CD001016.  BACKGROUND: Excessively heavy menstrual bleeding (HMB) or menorrhagia is an  important cause of ill health in women. Eighty per cent of women treated for HMB  have no anatomical pathology, which makes medical therapy, with the avoidance of  possibly unnecessary surgery, an attractive alternative. Of the wide variety of  medications used to reduce heavy menstrual bleeding, oral progestogens are the  most commonly prescribed. This review assesses the effectiveness of two  different regimens of oral progestogens in reducing ovulatory HMB. OBJECTIVES: The primary objective of this review was to investigate the  effectiveness of oral progestogen therapy taken either during the luteal phase  or for a longer course of 21 days in achieving a reduction in menstrual blood  loss in women of reproductive years with heavy menstrual bleeding (HMB). SEARCH STRATEGY: We searched the Cochrane Menstrual Disorders and Subfertility  Group Trials Register (searched April 2007), MEDLINE (1966 to April 2007) and  EMBASE (1985 to April 2007). Attempts were also made to identify trials from  citation lists of review articles. In most cases, the first author of each  included trial was contacted. SELECTION CRITERIA: The inclusion criteria were randomised comparisons of oral  progestogen therapy versus placebo or other medical treatments in women of  reproductive years with regular heavy periods measured either objectively or  subjectively and with no pathological or iatrogenic causes for their heavy  menstrual blood loss. DATA COLLECTION AND ANALYSIS: Seven randomised controlled trials (RCTs) were  identified that fulfilled the inclusion criteria. The review authors extracted  the data independently. Odds ratios for dichotomous outcomes and weighted mean  differences for continuous outcomes were estimated from the data. MAIN RESULTS: No RCTs comparing progestogen treatment with placebo were  identified. Comparisons between oral progestogens and other medical therapies  were assessed separately according to dosage regimen.Progestogen therapy during  the luteal phase was significantly less effective at reducing menstrual blood  loss when compared with tranexamic acid, danazol and the progesterone-releasing  intrauterine system (IUS). Duration of menstruation was significantly longer  with the progesterone IUS when compared with oral progestogen therapy but  significantly shorter with danazol treatment. Adverse events were significantly  more likely with danazol when compared with progestogen treatment. Progestogen  therapy from day 5 to day 26 of the menstrual cycle was significantly less  effective at reducing menstrual blood loss than the IUS. A significantly higher  proportion of norethisterone (NET) patients taking progestogens found their  treatment unacceptable compared to IUS patients. However, the adverse effects of  breast tenderness and intermenstrual bleeding were more likely in women with the  IUS. AUTHORS' CONCLUSIONS: Progestogens administered from day 15 or 19 to day 26 of  the cycle offer no advantage over other medical therapies such as danazol,  tranexamic acid, non-steroidal anti-inflammatory drugs (NSAIDs) and the IUS in  the treatment of menorrhagia in women with ovulatory cycles. Progestogen therapy  for 21 days of the cycle results in a significant reduction in menstrual blood  loss, although women found the treatment less acceptable than intrauterine  levonorgestrel. This regimen of progestogen may have a role in the short-term  treatment of menorrhagia.  DOI: 10.1002/14651858.CD001016.pub2 PMID: 18253983 [Indexed for MEDLINE]"
17540798,Oral contraceptive tolerance: does the type of pill matter?,"Moreau C, Trussell J, Gilbert F, Bajos N, Bouyer J","1. Obstet Gynecol. 2007 Jun;109(6):1277-85. doi:  10.1097/01.AOG.0000260956.61835.6d.  Oral contraceptive tolerance: does the type of pill matter?  Moreau C(1), Trussell J, Gilbert F, Bajos N, Bouyer J.  Author information: (1)CInstitut National de la Santé et de la Recherche Médicale, Unit 822,  Department of Epidemiology, University Paris-Sud, Faculté de Médecine, Le  Kremlin-Bicêtre, France. cmoreau@princeton.edu  Comment in     Obstet Gynecol. 2007 Jun;109(6):1266-7. doi:  10.1097/01.AOG.0000267115.59222.d6.  OBJECTIVE: To examine the frequencies of reported symptoms by oral contraceptive  pill (OCP) composition among French women. METHODS: A population-based cohort of 2,863 women studied between 2000 and 2004  was used to compare the frequency of reported symptoms (weight gain, nausea,  breast tenderness, lower frequency of menstrual periods, breakthrough bleeding,  painful and heavy periods, swollen legs) by type of OCPs (classified by estrogen  dosage, progestin component, and sequence of administration). RESULTS: Results show little variation in the frequency of symptoms by type of  OCPs, with the exception of progestin-only pills being associated with higher  frequencies of breakthrough bleeding and lower frequencies of menstrual periods.  We found no decrease in the reporting of symptoms with the reduction of estrogen  dosage, nor with the use of third-generation OCPs compared with  second-generation OCPs. Likewise, we found little variation by sequence of  administration of OCPs (monophasic versus triphasic). CONCLUSION: In the absence of sufficient evidence-based data to support the  existence of differences in the tolerance profile of low-dose combined OCPs,  future well-designed randomized trials are needed to guide providers in their  choice of OCPs. However, research should also assess the effectiveness of  counseling on the tolerance of OCPs, an intervention that may prove to be more  rewarding than basing the choice of OCPs on their theoretical properties.  DOI: 10.1097/01.AOG.0000260956.61835.6d PMID: 17540798 [Indexed for MEDLINE]"
