ID,Title,Authors,Abstract
25207093,Abdominal wall endometrioma: ultrasonographic features and correlation with clinical findings.,"Solak A, Genç B, Yalaz S, Sahin N, Sezer TÖ, Solak I","1. Balkan Med J. 2013 Jun;30(2):155-60. doi: 10.5152/balkanmedj.2012.102. Epub 2013  Jun 1.  Abdominal wall endometrioma: ultrasonographic features and correlation with  clinical findings.  Solak A(1), Genç B(1), Yalaz S(2), Sahin N(1), Sezer TÖ(3), Solak I(3).  Author information: (1)Department of Radiology, Şifa University Faculty of Medicine, İzmir, Turkey. (2)Department of General Surgery, Şifa University Faculty of Medicine, İzmir,  Turkey. (3)Department of General Surgery, Ege University Faculty of Medicine, İzmir,  Turkey.  BACKGROUND: The diagnosis of abdominal wall endometrioma (AWE) is often confused  with other surgical conditions. Certain factors relating to knowledge of the  clinical history of the disease make correct diagnosis and treatment difficult. AIMS: To present the clinical findings and ultrasonographic (US) features of AWE  with special emphasis on size-related features. STUDY DESIGN: This study reviewed abdominal wall endometriomas during a 2-year  period in the Radiology Department of Sifa University Hospital, Izmir. METHODS: Eleven women (mean age 32.6 years) with 12 scar endometriomas (mean  diameter 29.2 mm) were consecutively evaluated by US and Colour Doppler  examination (CDUS) prior to surgery. Lesions were grouped into large (≥3 cm) and  small nodules. Vascularisation was classified as location (central, peripheral  and mixed) and severity (absent, moderately vascular and hypervascular). In each  patient, the nature of pain (absent, cyclic: associated with menstruation and  continuous), historical and clinical data were documented. Four patients  underwent Magnetic Resonance Imaging and their findings were presented. Fisher's  exact test, χ(2) test for categorical data and the unpaired T-test for  continuous variables were used for statistical analysis. RESULTS: In all the women, US of the AWE showed the presence of a solid  hypoechoic mass (less echogenic than the surrounding hyperechoic fat) within the  abdominal wall. There was a significant correlation between AWE sizes with  repeated caesareans and the mean time between the last operation and admission  to hospital (p<0.05). Large endometriomas showed increased central vascularity  (p<0.05). Cyclic pain was more frequent in small lesions, whereas continuous  pain was more commonly found in patients with larger lesions (p<0.05). CONCLUSION: AWE is often misdiagnosed clinically because endometriosis may occur  years after the caesarean section, the pain is often non-cyclic in nature, and  there is not always a palpable tender mass. The sonographic and Doppler  findings, along with proper correlation with clinical data, may substantially  contribute to the correct diagnosis of endometrioma.  DOI: 10.5152/balkanmedj.2012.102 PMCID: PMC4115979 PMID: 25207093"
23421366,Hormone withdrawal-associated symptoms: overlooked and under-explored.,Bitzer J,"1. Gynecol Endocrinol. 2013 Jun;29(6):530-5. doi: 10.3109/09513590.2012.760194.  Epub 2013 Feb 20.  Hormone withdrawal-associated symptoms: overlooked and under-explored.  Bitzer J(1).  Author information: (1)Frauenklinik, Universitätsspital Basel, Basel, Switzerland.  Johannes.Bitzer@usb.ch  Women using combined oral contraceptives (COCs) report hormone  withdrawal-associated symptoms (HWaS), including bloating, headaches and pelvic  pain, which might be due to withdrawal of exogenous hormones and fluctuations in  endogenous estrogen during the hormone-free interval (HFI). The prevalence of  HWaS is not yet well studied, but these symptoms may lead to reduced user  satisfaction and quality of life, and sub-optimal adherence to, and  discontinuation of, COCs. HWaS are often confused with treatment-related adverse  events because the timing of symptom occurrence is seldom considered.  Publications on HWaS are lacking, with few guidelines and no clear consensus on  the best treatment option(s). Reported treatments include continuous or extended  hormonal COC regimens, which extend the time of the active hormone. Although  extended-cycle regimens can cause unpredictable bleeding patterns, user  satisfaction is high, with several studies reporting improvement in HWaS.  Shortening the HFI is also a well-tolerated and effective method of reducing  HWaS, and confers a more predictable bleeding pattern than extending the active  hormone period. This may improve acceptance and long-term use of COCs. Future  prospects include estradiol-based contraceptive combinations with a shortened  HFI and more stable estradiol levels throughout the menstrual cycle.  DOI: 10.3109/09513590.2012.760194 PMID: 23421366 [Indexed for MEDLINE]"
21679414,'The girl with her period is the one to hang her head' Reflections on menstrual management among schoolgirls in rural Kenya.,"McMahon SA, Winch PJ, Caruso BA, Obure AF, Ogutu EA, Ochari IA, Rheingans RD","1. BMC Int Health Hum Rights. 2011 Jun 16;11:7. doi: 10.1186/1472-698X-11-7.  'The girl with her period is the one to hang her head' Reflections on menstrual  management among schoolgirls in rural Kenya.  McMahon SA(1), Winch PJ, Caruso BA, Obure AF, Ogutu EA, Ochari IA, Rheingans RD.  Author information: (1)Emory University Center for Global Safe Water, Rollins School of Public  Health, 1518 Clifton Road, Room 767, Atlanta, GA 30322, USA. bcaruso@emory.edu.  BACKGROUND: The onset of menstruation is a landmark event in the life of a young  woman. Yet the complications and challenges that can accompany such an event  have been understudied, specifically in resource-poor settings. As interventions  aim to improve female attendance in schools, it is important to explore how  menstruation is perceived and navigated by girls in the school setting. This  research conveys rural Kenyan schoolgirls' perceptions and practices related to  menstruation METHODS: Data were collected at six rural schools in the Nyanza Province of  Western Kenya. Using focus group discussions, in-depth interviews, and field  notes from observations, researchers collected information from 48 primary  schoolgirls and nine teachers. Systematic analysis began with a reading of  transcripts and debriefing notes, followed by manual coding of the narratives. RESULTS: Focus group discussions became opportunities for girls to share  thoughts on menstruation, instruct one another on management practices and  advise one another on coping mechanisms. Girls expressed fear, shame,  distraction and confusion as feelings associated with menstruation. These  feelings are largely linked to a sense of embarrassment, concerns about being  stigmatized by fellow students and, as teachers explained, a perception that the  onset of menstruation signals the advent of a girl's sexual status. Among the  many methods for managing their periods, girls most frequently said they folded,  bunched up or sewed cloth, including cloth from shirts or dresses, scraps of old  cloth, or strips of an old blanket. Cloth was reported to frequently leak and  cause chafing, which made school attendance difficult particularly as the day  progressed. Attitudes and practices of girls toward menstruation have been  arranged into personal, environmental and behavioural factors. CONCLUSION: Further research on menstrual management options that are practical,  sustainable and culturally acceptable must be conducted to inform future  programs and policies that aim to empower young girls as they transition into  womanhood. Stakeholders working within this and similar contexts must consider  systematic mechanisms to explain to young girls what menstruation is and how to  manage it. Providing sanitary supplies or guiding girls on how to create  supplies serve as critical components for future interventions.  DOI: 10.1186/1472-698X-11-7 PMCID: PMC3129305 PMID: 21679414"
12357268,Catamenial hemoptysis and pulmonary endometriosis: a case report.,"Yu Z, Fleischman JK, Rahman HM, Mesia AF, Rosner F","1. Mt Sinai J Med. 2002 Sep;69(4):261-3.  Catamenial hemoptysis and pulmonary endometriosis: a case report.  Yu Z(1), Fleischman JK, Rahman HM, Mesia AF, Rosner F.  Author information: (1)Department of Medicine, Mount Sinai Services at Queens Hospital Center, 82-68  164th Street, Jamaica, NY 11432,USA.  Hemoptysis can be caused by a variety of pulmonary diseases, including parasitic  infections, tuberculosis, chronic bronchitis and malignancies. Rarely, pulmonary  endometriosis can present with hemoptysis and pose a diagnostic problem to  clinicians. Pulmonary endometriosis can easily be confused with other clinical  entities, including pulmonary embolism, pneumonia and pneumothorax.  Histopathologic confirmation is difficult, since the bleeding site is not easy  to locate. However, a presumptive diagnosis of pulmonary endometriosis can be  made with a typical clinical history. Even so, medical therapy may be  problematic, with recurrence of symptoms despite hormonal ablation. We report a  case of presumptive pulmonary endometriosis in a 32- year-old woman with a  history of an induced abortion, who presented with catamenial hemoptysis  (approximately one tablespoon per episode) occurring in the first 3 days of  menstruation over an 11-month period. She was treated with an oral contraceptive  for two months. No recurrence of hemoptysis was noted during 18 months of  follow-up. The approach to diagnosis and treatment of pulmonary endometriosis is  reviewed.  PMID: 12357268 [Indexed for MEDLINE]"
9923315,Idealised versus tainted femininity: discourses of the menstrual experience in Australian magazines that target young women.,"Raftos M, Jackson D, Mannix J","1. Nurs Inq. 1998 Sep;5(3):174-86. doi: 10.1046/j.1440-1800.1998.530174.x.  Idealised versus tainted femininity: discourses of the menstrual experience in  Australian magazines that target young women.  Raftos M(1), Jackson D, Mannix J.  Author information: (1)School of Nursing, Griffith University, Nathan, Queensland, Australia.  raftos@aust.net  Information and messages concerning health-related issues are not confined to  material provided by official figures or sources. Much information exists in the  community and comes from a variety of sources. One such source is the media.  This paper reports the findings of a study conducted over a 12-month period of  advertisements for menstrual products in a selection of four monthly Australian  magazines (n = 48) directed towards young women. The study examined the way in  which menstruation and the menstrual experience were depicted in terms of page  space, textual content and visual images. Findings revealed that advertisements  for menstrual products provided confusing, conflicting and paradoxical messages.  These included stressing the normality of menstruation while also emphasising  the importance of keeping it hidden and secret. Menstruation was depicted as  being a state of tainted (idealised) femininity because of the potential for the  menstrual silence to be shattered by people finding out. Protection failure was  depicted as being the ultimate in tainted femininity and a result of a woman's  incorrect choice of product. Choosing menstrual-care products was depicted as  simple but, paradoxically, complex and confusing. Women were depicted as  liberated and sophisticated but images and language related to infancy were  used. Freedom and liberation were conferred by the use of the advertised  product. Overall, in common with previous studies, menstruation was depicted as  a crisis of hygiene that is a risk to femininity. Advertisements for pantyliners  suggest that femininity itself poses a threat to (idealised) femininity. This  study demonstrates the crucial role of the media as a source of health  information for young women.  DOI: 10.1046/j.1440-1800.1998.530174.x PMID: 9923315 [Indexed for MEDLINE]"
7650044,Is menopause withering away?,"Topo P, Hemminki E","1. J Biosoc Sci. 1995 Jul;27(3):267-76. doi: 10.1017/s0021932000022793.  Is menopause withering away?  Topo P(1), Hemminki E.  Author information: (1)Health Research Unit, National Research and Development Centre for Welfare  and Health, Helsinki, Finland.  Menopause (cessation of menstruation) and the period surrounding it  (climacterium) are often defined retrospectively by asking a woman the date of  her last menstrual period (LMP). Based on a survey of 2000 women aged 45-64 in  1989 in Finland, this study examines (1) the relation between these definitions  and women's own definition of their climacteric status and of the cessation of  menstruation and (2) the effect of menopausal and postmenopausal hormone therapy  and hysterectomy on the definition of menopause and climacterium. Agreement of  the woman's own definition of her climacteric status and interval since LMP was  25% among current hormone users, 41% among hysterectomised women and 64% among  those who were neither currently using hormones nor had been hysterectomised.  Current hormone users defined the climacteric phase as longer than their LMP  suggested. Current hormone use and hysterectomy had little effect on reported  final cessation of menstrual periods. It is concluded that hysterectomy and  hormone therapy shape women's thinking about the end of reproductive life, blur  the concepts of menopause and postmenopause and confuse the measurement of age  at menopause.  DOI: 10.1017/s0021932000022793 PMID: 7650044 [Indexed for MEDLINE]"
7793422,Perimenstrual symptoms and working conditions among hospital workers in Quebec.,"Tissot F, Messing K","1. Am J Ind Med. 1995 Apr;27(4):511-22. doi: 10.1002/ajim.4700270405.  Perimenstrual symptoms and working conditions among hospital workers in Quebec.  Tissot F(1), Messing K.  Author information: (1)Centre pour l'Etude des Interactions Biologiques Entre la Santé et  l'Environnement, Université du Quebec à Montréal, Quebec, Canada.  Perimenstrual symptoms are among the most common disorders of women. Seven  perimenstrual symptoms were related to working conditions among 539 hospital  workers in a retrospective cohort questionnaire study, as part of a larger  examination of health problems and working conditions of Quebec hospital  workers. Only 8% of women had experienced no symptoms of discomfort associated  with their last menstrual period. Lower abdominal pain, the most common symptom  (58% prevalence), was associated with lifting weights (usually patients) in a  logistic regression adjusted for parity and contraceptive use. Back pain, leg  pain, swelling, and headache were associated with indicators of time pressure  and fast work speed. Back pain during menstruation was experienced by 44% of  workers. Studies of the prevalence and etiology of back pain, a common  occupational health problem among hospital workers, may be confused if  perimenstrual back pain is not taken into account. Similar reservations hold for  the results on other perimenstrual symptoms that are also likely to occur  outside the perimenstrual period, such as leg pain, irritability, and headache.  DOI: 10.1002/ajim.4700270405 PMID: 7793422 [Indexed for MEDLINE]"
7962455,RU486: a compound that gets itself talked about.,Baulieu EE,"1. Hum Reprod. 1994 Jun;9 Suppl 1:1-6. doi: 10.1093/humrep/9.suppl_1.1.  RU486: a compound that gets itself talked about.  Baulieu EE(1).  Author information: (1)Institut National de la Santé et de la Recherche Médicale, Unité 33, Le  Kremlin-Bicêtre, France.  In part, RU486 is 'the pill' awaited for centuries by women in difficulty and  still threatened by the danger of botched abortions in many countries. This is  enough for it to be the object of innumerable articles in the professional and  lay press, and of so many private and public debates. The recently demonstrated  possibility of stopping the development of pregnancy with a convenient  combination of RU486 and a cheap, safe, orally active prostaglandin, and thus  the potential of defusing in part the abortion issue, has again headed the front  pages of the news. The 'political chemistry' of RU486 (Hogden, 1991), which is  still in full swing, delays its introduction and its use by women in need,  particularly in the developing world, and by patients suffering from a number of  diseases potentially treatable by the drug.  PIP: In several industrialized countries, women can take the antiprogesterone  RU-486 orally, followed 48 hours later by a prostaglandin to interrupt early  pregnancy. The prostaglandin should be administered orally because of  cardiovascular incidents linked to the injectable form. It would have been  better if a hormone scientist associated with the development of RU-486 had  presented RU-486 as a menstrual regulator than within the context of abortion.  He proposes the term contragestion (contra-gestation) for RU-486 because it is  neither contraception nor abortion. He did not use the term soon enough after  RU-486's discovery, resulting in confusion. So the public began referring to  RU-486 as the morning after pill. France has one law for contraception and  another for abortion (termination after a positive pregnancy test). The law  requires women to wait 1 week after making the decision to undergo abortion  before actually undergoing abortion. There is no law covering the period between  conventional contraception and classical abortion. This left researchers only 1  option when testing and registering RU-486: under the abortion law. This further  prevented the acceptance of the word contragestion. Progestins and IUDs also  interrupt early pregnancy and are therefore contragestives. A key difference  between these 2 methods and RU-486 is that RU-486 use requires women to make a  conscious decision to interrupt the pregnancy. RU-486 should be a backup to  contragestive and contraceptive methods. RU-486 is needed because there is a  medical problem with abortion.  DOI: 10.1093/humrep/9.suppl_1.1 PMID: 7962455 [Indexed for MEDLINE]"
7925745,"Ovarian function, therapy-oriented definition of menopause and climacteric.",Utian WH,"1. Exp Gerontol. 1994 May-Aug;29(3-4):245-51. doi: 10.1016/0531-5565(94)90003-5.  Ovarian function, therapy-oriented definition of menopause and climacteric.  Utian WH(1).  Author information: (1)Department of Reproductive Biology, Case Western Reserve University School of  Medicine, University Hospitals, Cleveland, Ohio 44106.  The lack of uniformity in descriptive terminology applied to the cessation of  human female menstruation and events related thereto has retarded scientific  progress and resulted in confusion and, perhaps, therapeutic mismanagement.  Inevitably, many published clinical studies do not clearly define the population  being tested, and conclusions drawn are misleading or invalid. Although  menopause refers to the final menstrual period (often defined retrospectively by  6-12 months amenorrhea) and climacteric to the transition from reproductive to  nonreproductive stage of life, the event is not necessarily associated with any  obvious symptom except amenorrhea. When symptoms do occur, collectively referred  to as the climacteric syndrome, they are generated by an interaction between  endocrine, sociocultural, and psychological factors, and perhaps concurrent  aging phenomena as well. Based on the premise that some women with intact  ovaries demonstrate endocrine compensatory mechanisms after menopause (i.e.,  that there are two types of postmenopausal ovary--one active and one essentially  inert) and that women whose menses cease because of surgery (ovariectomy) or  chemotherapy, they should not be included with those undergoing a natural  menopause (i.e., represent an atypical group), an ovarian function,  therapy-oriented definition for climacteric is proposed.  DOI: 10.1016/0531-5565(94)90003-5 PMID: 7925745 [Indexed for MEDLINE]"
8299282,[A case of Hashimoto's encephalopathy with a relapsing course related to menstrual cycle].,"Ishii K, Hayashi A, Tamaoka A, Mizusawa H, Shoji S","1. Rinsho Shinkeigaku. 1993 Sep;33(9):995-7.  [A case of Hashimoto's encephalopathy with a relapsing course related to  menstrual cycle].  [Article in Japanese]  Ishii K(1), Hayashi A, Tamaoka A, Mizusawa H, Shoji S.  Author information: (1)Department of Neurology, University of Tsukuba.  A case of 43-year-old woman with Hashimoto's encephalopathy who experienced  three relapses closely associated with the menstrual cycle is reported. In April  1992, she began to experience occasional tremors in her arms. Three months  later, she experienced a generalized seizure and was transferred to our  hospital. Hashimoto's thyroiditis was diagnosed on the basis of high thyroid  microsomal titer and mild hypothyroidism. Neurological findings in admission  included action tremor in both hands, myoclonus in all extremities, cerebellar  ataxia, confusion, and hyperreflexia. Cerebrospinal fluid showed elevated  protein level without pleocytosis. Electroencephalogram showed diffuse slowing  and magnetic resonance imaging of brain was normal. Hashimoto's encephalopathy  was diagnosed from these findings. These episodes of remission and exacerbation  were observed during the admission. Her symptoms started at ovulation, worsened  during the luteal phase, and improved when menstruation started. After the third  relapse, she was treated with oral thyroxine for hypothyroidism and with an  estrogen and progesterone combination to regulate the menstrual cycle. Her  thyroid function gradually became euthyroid and she did not experience any  subsequent relapses. The relation between the relapsing course and menstrual  cycle suggests that the periodic alteration of gonadotrophic and/or gonadal  hormones or the menstrual regulating center itself in the brain may be an  important factor of pathogenetic mechanism of the disorder.  PMID: 8299282 [Indexed for MEDLINE]"
