ID,Title,Authors,Abstract
39005755,Menstrual Cramps in Anovulatory versus Normally Ovulatory Cycles - SARS-COV-2 Pandemic Daily Data Plus a Meta-Analysis of Cramps and Anovulation.,"Mann G, Shirin S, Bann S, Yong PJ, Kalidasan D, Goshtasebi A, Prior JC","1. J Pain Res. 2024 Jul 10;17:2363-2374. doi: 10.2147/JPR.S457484. eCollection  2024.  Menstrual Cramps in Anovulatory versus Normally Ovulatory Cycles - SARS-COV-2  Pandemic Daily Data Plus a Meta-Analysis of Cramps and Anovulation.  Mann G(1), Shirin S(2)(3), Bann S(2)(3)(4), Yong PJ(2)(3)(5), Kalidasan D(2),  Goshtasebi A(2)(3), Prior JC(2)(3)(4)(6).  Author information: (1)University of British Columbia, Vancouver, British Columbia, Canada. (2)Centre for Menstrual Cycle and Ovulation Research, University of British  Columbia, Vancouver, British Columbia, Canada. (3)British Columbia Women's Health Research Institute, Vancouver, British  Columbia, Canada. (4)Division of Endocrinology and Metabolism, Department of Medicine, University  of British Columbia, Vancouver, British Columbia, Canada. (5)Department of Obstetrics and Gynecology, University of British Columbia,  Vancouver, British Columbia, Canada. (6)School of Population and Public Health, University of British Columbia,  Vancouver, British Columbia, Canada.  PURPOSE: It is asserted that primary dysmenorrhea/menstrual cramps only occur in  ovulatory menstrual cycles. Our first objective was to present detailed  menstrual cramps information in normally ovulatory versus anovulatory cycles  from a single-cycle cohort study during the SARS-CoV-2 Pandemic. Secondly, we  reviewed the literature for cohort studies documenting both menstrual cramps and  ovulation. PARTICIPANTS AND METHODS: The Menstruation and Ovulation Study 2 recruited 108  women ages 19-35 years to a prospective, observational single-cycle study,  recording cramps daily (0-4 scale) in the Menstrual Cycle Diary© and assessing  normal ovulation (luteal length ≥10 days) by the validated Quantitative Basal  Temperature© (Mean Temperature Method). We searched databases for « primary  dysmenorrhea » / » menstrual cramps »; « menstrual cycles »; « anovulation »,  finding four valid publications. RESULTS: In 75 women/cycles during the Pandemic, mean age was 28.5, body mass  index 23.5, and higher education (16 years); 40 normally ovulatory and 35  anovulatory cycles had similar lengths (29.5-30.0 days), respectively (P=0.571).  However, anovulatory cycles recorded significantly worse menstrual cramps versus  normally ovulatory cycles; anovulatory median intensity was 1.9 versus 1.6, and  Cramp Score was 8 versus 6 in normally ovulatory cycles (P=0.017). Four  publications in 273 women (991 cycles) showed cramps in both anovulatory and  ovulatory cycles; three were in adolescent/young adult women, one of which  documented a significantly greater percentage of cramps in ovulatory cycles. The  694 cycles in premenopausal women (20-41 years) showed similar percentages of  symptomatic cramps in cycles of both ovulatory types. Meta-analysis documented  significantly higher cramp prevalence in ovulatory cycles (OR 2.10; 95% CI 1.31,  3.37; P=0.002). CONCLUSION: This is the first documentation of more intense and frequent cramps  in anovulatory cycles. However, meta-analysis showing the presence of  symptomatic cramps in both ovulatory and anovulatory cycles documented they were  twice as prevalent in ovulatory menstrual cycles.  Plain Language Summary: “Worse Menstrual Cramps in Anovulatory Cycles”. Medicine  has long believed that menstrual cramps only occur in ovulatory menstrual cycles  that release an egg and have high progesterone levels that decrease before the  next period. The notion was that dropping progesterone levels triggered release  of prostaglandins that cause the pain and uterus muscle contractions of  menstrual cramps. This research studied 75 community women aged 19–35 years for  a single cycle during COVID-19. Forty women had normally ovulatory cycles and 35  had anovulatory cycles with a similar mean cycle length of 29.7 days. Women in  both groups were similar in age, weight, education and other reproductive  characteristics. Women recorded Menstrual Cycle Diary© daily experiences for  cramp presence and intensity (scored 0–4). Ovulation was documented by daily  first morning temperatures analyzed by the valid Quantitative Basal Temperature©  method. Results showed menstrual cramps occurred in both normally ovulatory and  anovulatory cycles. Surprisingly, anovulatory compared with ovulatory cycles had  cramps that lasted longer (4 rather than 3 days), were more intense (1.9 versus  1.6) and with significantly higher Cramp Scores (of 8 versus 6). We also found  four other published studies showing cramps occurred in both anovulatory and  ovulatory cycles. A meta-analysis of these, however, showed that cramps were  twice as frequent in ovulatory cycles. These results matter because they  stimulate the search for more accurate understandings of why menstrual cramps  occur. They will likely stimulate more effective therapies for the rare, intense  menstrual cramps that currently are not effectively treated by anti-inflammatory  medicines such as ibuprofen.  © 2024 Mann et al.  DOI: 10.2147/JPR.S457484 PMCID: PMC11246634 PMID: 39005755  Conflict of interest statement: The authors report no conflicts of interest in  this work."
38848428,Menstrual cycle disorders as an early symptom of energy deficiency among female physique athletes assessed using the Low Energy Availability in Females Questionnaire (LEAF-Q).,"Witkoś J, Luberda E, Błażejewski G, Strój E","1. PLoS One. 2024 Jun 7;19(6):e0303703. doi: 10.1371/journal.pone.0303703.  eCollection 2024.  Menstrual cycle disorders as an early symptom of energy deficiency among female  physique athletes assessed using the Low Energy Availability in Females  Questionnaire (LEAF-Q).  Witkoś J(1), Luberda E(1), Błażejewski G(1), Strój E(1).  Author information: (1)Faculty of Medicine and Health Science, Andrzej Frycz Modrzewski Krakow  University, Kraków, Poland.  Physique competitions are weight-sensitive sports in which stage presentation,  aesthetic appearance and posing ability of the athletes are judged rather than  physical performance. The aim of this study was to assess low energy  availability among female physique athletes by using the LEAF-Q. The study  involved 104 females who were physique athletes. Monthly cycle disorders were  reported in 58.65% of the women, that is periods stopped for three consecutive  months or longer (amenorrhea). This situation occurred before the research was  conducted in 43.27% of athletes and during the research in 15.38%. The physique  athletes claimed that menstruation changes occurred when there was an increased  exercise intensity, frequency or duration. Absence from training due to injury  was reported by 27.88% of the women. The LEAF-Q identified 46.15% of the  physique athletes as at risk (score ≥ 8) of low energy availability and the  physiological consequences related to RED-S. Women who had menstrual cycle  disorders were younger and did more training per week. Among women with  menstrual disorders, cramps or stomach ache which cannot be related to  menstruation occurred more frequently (p = 0.004). Absence from training or lack  of participation in competition due to injuries occurred more frequently in the  score ≥ 8 group (p = 0.024) thank the ≤ score 8 group. In the score ≥ 8 group  menstruation changes, that is less bleeding or cessation of menstruation (p =  0.035), occurred more frequently when there was an increase in exercise  intensity, frequency or duration (p = 0.002).  Copyright: © 2024 Witkoś et al. This is an open access article distributed under  the terms of the Creative Commons Attribution License, which permits  unrestricted use, distribution, and reproduction in any medium, provided the  original author and source are credited.  DOI: 10.1371/journal.pone.0303703 PMCID: PMC11161107 PMID: 38848428 [Indexed for MEDLINE]  Conflict of interest statement: NO authors have competing interests."
38807793,Comparing Pilates and Gym Ball Exercises for Primary Dysmenorrhea Management: An Empirical Study.,"Kirthika S V, S S, G MK, S R, Rnv D, P SS","1. Cureus. 2024 Apr 28;16(4):e59184. doi: 10.7759/cureus.59184. eCollection 2024  Apr.  Comparing Pilates and Gym Ball Exercises for Primary Dysmenorrhea Management: An  Empirical Study.  Kirthika S V(1), S S(2), G MK(3), S R(4), Rnv D(5), P SS(6).  Author information: (1)Physiotherapy (Neurology), Faculty of Physiotherapy, Dr. M.G.R. Educational  and Research Institute (Deemed to be University) Maduravoyal, Chennai, IND. (2)Physiotherapy (Sports), Faculty of Physiotherapy, Dr. M.G.R. Educational and  Research Institute (Deemed to be University) Maduravoyal, Chennai, IND. (3)Physiotherapy (Orthopedics), Faculty of Physiotherapy, Dr. M.G.R. Educational  and Research Institute (Deemed to be University) Maduravoyal, Chennai, IND. (4)Physiotherapy (Cardiovascular and Pulmonary), Faculty of Physiotherapy, Dr.  M.G.R. Educational and Research Institute (Deemed to be University) Maduravoyal,  Chennai, IND. (5)Physiotherapy(Obstetrics and Gynecology), Faculty of Physiotherapy, Dr.  M.G.R. Educational and Research Institute (Deemed to be University) Maduravoyal,  Chennai, IND. (6)Physiotherapy, School of Physiotherapy, Vels Institute of Science, Technology  and Advanced Studies, Chennai, IND.  BACKGROUND: Primary dysmenorrhea, commonly known as menstrual cramps, is a  prevalent gynecological issue that impacts many women in their childbearing age.  It manifests as reoccurring, cramp-like lower abdominal pain, usually commencing  right prior to or during the menstrual period. These painful sensations can be  severe, extending to the lower back and upper thighs can greatly disrupt a  woman's daily life and overall well-being. The optimal exercise approach is  needed for individuals seeking relief from primary dysmenorrhea, allowing  healthcare providers and women themselves to make informed decisions regarding  their treatment options. Though many forms of exercise interventions exist in  the treatment of primary dysmenorrhea, this study aims to compare two forms of  intervention namely pilates and gym ball exercises on pain and menstrual  distress among women with Primary Dysmenorrhea. METHODS: This experimental comparative study was carried out with 30 young  female participants over a 12-week period. Participant recruitment was done  through a simple random sampling method. The criteria of inclusion encompassed  young females aged 17-25 years, those in good health, and those experiencing  primary dysmenorrhea. Exclusion criteria included secondary dysmenorrhea,  medication use, polycystic ovarian syndrome, bleeding disorders, positive  pregnancy tests, breastfeeding, and other medical conditions. Group A received  Pilates exercises, while Group B underwent Gym ball exercises. The assessment of  both groups' menstrual distress levels was conducted using the Moos Menstrual  Distress Questionnaire (MDQ) and pain scores using the Visual Analog Scale  (VAS). RESULT: In the statistical analysis, Group A (Pilates Exercises) showed a  significantly lower mean value (2.60) on the VAS compared to Group B (Swiss Ball  Exercises) (5.46), with both groups experiencing a notable reduction in  post-test scores (p ≤ 0.001). Additionally, on the MOOS MDQ score, Group A  (Pilates Exercises) achieved a lower mean value (79.33) compared to Group B  (Swiss Ball Exercises) (103.26), with both groups demonstrating a significant  decrease in post-test scores (p ≤ 0.001). CONCLUSION: In conclusion, this study underscores the significance of exercise  therapy, particularly Pilates exercises, as a holistic approach to addressing  primary dysmenorrhea, improving physical well-being, and enhancing the overall  quality of life.  Copyright © 2024, Kirthika S et al.  DOI: 10.7759/cureus.59184 PMCID: PMC11130599 PMID: 38807793  Conflict of interest statement: The authors have declared that no competing  interests exist."
38773901,"""Just"" a painful period: A philosophical perspective review of the dismissal of menstrual pain.",Wiggleton-Little J,"1. Womens Health (Lond). 2024 Jan-Dec;20:17455057241255646. doi:  10.1177/17455057241255646.  ""Just"" a painful period: A philosophical perspective review of the dismissal of  menstrual pain.  Wiggleton-Little J(1).  Author information: (1)Center for Bioethics-JJS-60, Cleveland Clinic, Cleveland, OH, USA.  Science and society typically respond to dysmenorrhea-or painful menstrual  cramps-as a normal, natural, and inevitable part of menstruation. This  normalization has greatly contributed to the systemic dismissal of painful  menstrual cramps. Stigma, secrecy, and the expectation to ""cope"" fuel the  normalization of menstrual pain. In this article, I argue that the normalization  of menstrual pain restricts the ability to share an excruciating menstrual pain  in a way that would otherwise elicit alarm or concern. This can cause clinicians  to downgrade menstrual pain, and even menstruating persons to downgrade their  own pain. I refer to the dismissal of menstrual pain as an example of a  pain-related motivational deficit. A pain-related motivational deficit describes  instances in which an utterance fails to motivate due to societal practices and  ideas that make it difficult to recognize the import of the embodied experience  being shared.  Plain Language Summary: “Just” a painful period: why we are not concerned by  reported menstrual painIt is widely believed that painful menstrual cramps are  just a normal part of the menstrual cycle; something that all menstruating  persons are expected to deal with. There is also a stigma around periods and an  expectation to keep the experience of periods hidden. This creates a process  known as normalization. Because painful menstrual cramps are normalized, it is  easier to dismiss patients who report painful menstrual cramps. In this article,  I argue that the idea that painful menstrual cramps are normal makes it  difficult for others to be concerned or alarmed by reports of menstrual pain.  Reports of menstrual pain are downgraded or are seen as not that bad. When we  are unable to see how bad a pain is because society believes the reported pain  is normal, the pain report fails to elicit concern from the listener. I call  this process a pain-related motivational deficit.  DOI: 10.1177/17455057241255646 PMCID: PMC11113068 PMID: 38773901 [Indexed for MEDLINE]  Conflict of interest statement: The author declared no potential conflicts of  interest with respect to the research, authorship, and/or publication of this  article."
38478380,The Antigen-Processing Pathway via Major Histocompatibility Complex I as a New Perspective in the Diagnosis and Treatment of Endometriosis.,"Nowak I, Bochen P","1. Arch Immunol Ther Exp (Warsz). 2024 Mar 13;72(1). doi: 10.2478/aite-2024-0008.  eCollection 2024 Jan 1.  The Antigen-Processing Pathway via Major Histocompatibility Complex I as a New  Perspective in the Diagnosis and Treatment of Endometriosis.  Nowak I(1), Bochen P(1).  Author information: (1)Department of Clinical Immunology, Laboratory of Immunogenetics and Tissue,  Immunology, Ludwik Hirszfeld Institute of Immunology and Experimental Therapy,  Polish Academy of Sciences, Wrocław, Poland.  Endometriosis is a debilitating gynecological disease defined as the presence of  endometrium-like epithelium and/or stroma outside the uterine cavity. The most  commonly affected sites are the pelvic peritoneum, ovaries, uterosacral  ligaments, and the rectovaginal septum. The aberrant tissue responds to hormonal  stimulation, undergoing cyclical growth and shedding similar to appropriately  located endometrial tissue in the uterus. Common symptoms of endometriosis are  painful periods and ovulation, severe pelvic cramping, heavy bleeding, pain  during sex, urination and bowel pain, bleeding, and pain between periods.  Numerous theories have been proposed to explain the pathogenesis of  endometriosis. Sampson's theory of retrograde menstruation is considered to be  the most accepted. This theory assumes that endometriosis occurs due to the  retrograde flow of endometrial cells through the fallopian tubes during  menstruation. However, it has been shown that this process takes place in 90% of  women, while endometriosis is diagnosed in only 10% of them. This means that  there must be a mechanism that blocks the immune system from removing  endometrial cells and interferes with its function, leading to implantation of  the ectopic endometrium and the formation of lesions. In this review, we  consider the contribution of components of the Major Histocompatibility Complex  (MHC)-I-mediated antigen-processing pathway, such as the ERAP, TAP, LMP, LNPEP,  and tapasin, to the susceptibility, onset, and severity of endometriosis. These  elements can induce significant changes in MHC-I-bound peptidomes that may  influence the response of immune cells to ectopic endometrial cells.  © 2024 Izabela Nowak et al., published by Sciendo.  DOI: 10.2478/aite-2024-0008 PMID: 38478380 [Indexed for MEDLINE]"
38069935,Young Men's Attitudes and Understanding of Menstruation.,"Zablock K, Fei YF","1. J Adolesc Health. 2024 Apr;74(4):782-786. doi: 10.1016/j.jadohealth.2023.10.014.  Epub 2023 Dec 9.  Young Men's Attitudes and Understanding of Menstruation.  Zablock K(1), Fei YF(2).  Author information: (1)Department of Women's and Gender Studies, University of Michigan, Ann Arbor,  Michigan. (2)Section of Pediatric and Adolescent Gynecology, Nationwide Children's  Hospital, Columbus, Ohio. Electronic address:  Frances.Fei@nationwidechildrens.org.  PURPOSE: To identify sources of information, perceptions, and potential  misinformation about menstruation among college-aged men in the United States. METHODS: This is a mixed-methods cross-sectional survey study of students in the  United States. Inclusion criteria included participants aged 17-29 years, male  gender identity, enrolled as an undergraduate or graduate student, and no  personal history of menstruation. RESULTS: This study included 70 participants. Almost half of all participants  (42.9%) first learned about menstruation from family members. More than  two-thirds of respondents felt that menstrual education was essential or very  important for all genders. The most common symptoms noted to be associated with  periods included cramping (93.6%), mood changes (80.9%), and vague ""hormonal""  changes (36.2%). When asked how a menstrual period might affect someone's  ability to perform daily activities, one-third reported debilitating or very  burdensome symptoms, whereas one-fifth felt periods do not have much impact. DISCUSSION: Comprehensive education and accurate reproductive health knowledge  are critical in combating gender bias and stigma. Most males surveyed agree that  education on menstruation is important, yet the majority do not have or do not  remember formal education on this topic, instead relying on family members and  friends as learning tools and resources. Most participants identified negative  symptoms associated with menstrual periods, especially mental health concerns  including mood changes and irritability. This association with mood changes, as  well as vague ""hormonal fluctuations,"" contributes to the societal bias against  people who menstruate by marking them as prone to emotional instability, thereby  exacerbating gender prejudices. It is therefore critical that accurate menstrual  education be widely available for everyone, regardless of gender.  Copyright © 2023 Society for Adolescent Health and Medicine. Published by  Elsevier Inc. All rights reserved.  DOI: 10.1016/j.jadohealth.2023.10.014 PMID: 38069935 [Indexed for MEDLINE]"
37405315,Quantifying the Impact of Dysmenorrhea Symptoms on Quality-of-Life and Access to Oral Contraceptives by Income.,"Choksey R, Mangal RK, Stead TS, Jones T, Flores R, Ganti L","1. Health Psychol Res. 2023 May 24;11:74120. doi: 10.52965/001c.74120. eCollection  2023.  Quantifying the Impact of Dysmenorrhea Symptoms on Quality-of-Life and Access to  Oral Contraceptives by Income.  Choksey R, Mangal RK, Stead TS, Jones T, Flores R, Ganti L.  BACKGROUND: Dysmenorrhea, or painful menstrual periods, is one of the most  common gynecological complaints. Most reports of uterine contractions range  between moderate to severe pain, and patients often elect to cope with their  discomfort without assistance from a physician. In the process, women  experiencing dysmenorrhea are more likely to report absenteeism from work and  school. OBJECTIVES: This study measures the reported impact of dysmenorrhea on patients'  lives and elucidates a relationship between income and access to oral  contraceptives. METHODS: Two hundred women completed a survey about their symptoms, level of  pain, treatments, and the extent to which dysmenorrhea affected day-to-day  obligations. Most questions were multiple-choice while others permitted several  answer selections or were free response. The data was analyzed using JMP  statistical software. RESULTS: Eighty-four percent of respondents reported moderate to severe pain  during menstruation. This discomfort has caused 65.5% of the cohort to miss work  and 68% to avoid participating in social gatherings. Pain relief medications are  most often used as treatment - 143 respondents took ibuprofen, 93 took  acetaminophen, and 51 took naproxen. 29.5% of respondents are prescribed birth  control for cramps and blood flow. Income (p = 0.049), age (p = 0.002), and  education (p = 0.002) were significant predictors for oral contraceptive pill  (OCP) use. The lowest income groups were found to use OCPs at less than half the  rate as the highest income respondents. CONCLUSION: Dysmenorrhea affected most participants in the cohort with an impact  that extends beyond professional obligations. Income was found to be positively  correlated with increased OCP use, whereas education level was inversely  correlated. Clinicians should consider how patients' backgrounds influence their  access to OCP options. An improvement on this study's findings would be to  establish a causal relationship between these demographic factors and access to  OCPs.  DOI: 10.52965/001c.74120 PMCID: PMC10317510 PMID: 37405315  Conflict of interest statement: The authors declare that there are no conflicts  of interest."
37313053,Effect of Beta vulgaris extracts on dysmenorrhea among adolescent girls.,"Mahalakshmi B, Sivasubramanian N, Vaghela P, Ganvanthbhai RD, Rajeshbhai GP, Ramalakshmi G, Prakash D, Ekambaram G","1. Bioinformation. 2022 Jul 31;18(7):657-660. doi: 10.6026/97320630018657.  eCollection 2022.  Effect of Beta vulgaris extracts on dysmenorrhea among adolescent girls.  Mahalakshmi B(1), Sivasubramanian N(1), Vaghela P(1), Ganvanthbhai RD(1),  Rajeshbhai GP(1), Ramalakshmi G(1), Prakash D(2), Ekambaram G(3).  Author information: (1)Nootan College of Nursing, Sankalchand Patel University, Visnagar, Gujarat -  384315, India. (2)College of Nursing, S.G.R.R University, Dehradun, Uttarkhand - 248001, India. (3)Department of Physiology, Nootan medical college and Research Centre,  Sankalchand Patel University, Visnagar, Gujarat - 384315, India.  Dysmenorrhea is painful menstrual periods which are caused by uterine  contractions. The ache is commonly felt in the pelvic or lower abdomen around  the time menstruation begins. Periods aren't the best time for a woman to feel  strong and energized. With all of the blood loss, cramps, and exhaustion,  finding enough excitement to get through the day's responsibilities is  difficult. Vulgaris Beta Potassium and nitrates, both of which are necessary for  blood pressure regulation, are abundant in juice. For energy, only 50ml of beet  juice is required. The analysis of data was done by descriptive and inferential  statistics. The study identified that 46.66 % had moderate pain, 33.33 % had  mild pain and none of them had severe pain for the pre- experimental group. The  study result shows that the pre-test mean value for is 5.91 and pre-test SD  0.96. The post-test mean value is 2.86 and post-test SD is 1.04. The mean  difference is 3.05. The calculated 't' value is 16.85 is higher than the table  value 1.67. The study concluded that Beta vulgaris juice found to be effective  non-pharmacological measures to reduce dysmenorrheal among adolescent girls.  © 2022 Biomedical Informatics.  DOI: 10.6026/97320630018657 PMCID: PMC10259228 PMID: 37313053"
37000088,Auricular therapy for primary dysmenorrhea: A protocol for systematic review and meta-analysis of randomized controlled trials.,"Yu Q, Cao J, Chen H, He J, Wang X, Liu R, Li T","1. Medicine (Baltimore). 2023 Mar 31;102(13):e33382. doi:  10.1097/MD.0000000000033382.  Auricular therapy for primary dysmenorrhea: A protocol for systematic review and  meta-analysis of randomized controlled trials.  Yu Q(1), Cao J, Chen H, He J, Wang X, Liu R, Li T.  Author information: (1)Department of Acupuncture and Tuina, Changchun University of Chinese  Medicine, Changchun, China.  BACKGROUND: Primary dysmenorrhea (PD) is a common problem among women. It is  defined as any degree of perceived cramping pain during menstruation without any  evident pathology. Auricular therapy (AT), a widely used alternative medical  treatment method as part of traditional Chinese acupuncture, lacks reliable  evidence to support its safety and effectiveness for PD. We aimed to conduct a  meta-analysis to investigate the efficacy and safety of AT in PD and to  investigate possible factors impacting the particular efficacy of AT in PD by  meta-regression. METHODS: This protocol followed the PRISMA guidelines of the Preferred Reporting  Items for Systematic Reviews and Meta-Analysis Protocols. The following 9  sources will be searched for randomized control trials of AT for PD: the  Cochrane Central Register of Controlled Trials, PubMed, Medline, Embase, Web of  Science, Chinese Biomedical Literature Database (CBM), China National Knowledge  Infrastructure, Chinese Science and Technology Periodicals (VIP) database and  WanFang Database from inception to January 1, 2023. Primary outcomes include  visual rating scales and clinical efficacy rates, while secondary outcomes  include endocrine hormone indicators related to PD and adverse events. Two  reviewers will work independently on study selection, data extraction, and  coding, including the risk of bias assessment in the included studies. While  conducting a meta-analysis, Review Manager version 5.3 will be employed.  Otherwise, a descriptive analysis will be performed. The results will be  displayed as a risk ratio with 95% confidence intervals for dichotomous data as  well as weight mean difference or standardized mean difference with 95%  confidence intervals for continuous data. RESULTS: This study's protocol will investigate the efficacy and safety of AT in  the treatment of PD in a systematic way. CONCLUSION: This systematic evaluation will objectively and systematically  assess the efficacy and safety of AT in PD based on the available evidence, as  well as provides clinicians with evidence to support the treatment of the  disease.  Copyright © 2023 the Author(s). Published by Wolters Kluwer Health, Inc.  DOI: 10.1097/MD.0000000000033382 PMCID: PMC10063318 PMID: 37000088 [Indexed for MEDLINE]  Conflict of interest statement: The authors have no conflicts of interest to  disclose."
35879750,Prevalence of menstrual symptoms change and influencing factors among international female students studying in china during acculturation period.,"Alkhatib A, Zhou Q, Bajinka O, Pakwan Suwal R, Wiley J, Li X","1. BMC Womens Health. 2022 Jul 25;22(1):311. doi: 10.1186/s12905-022-01897-6.  Prevalence of menstrual symptoms change and influencing factors among  international female students studying in china during acculturation period.  Alkhatib A(1), Zhou Q(1), Bajinka O(2), Pakwan Suwal R(3), Wiley J(4), Li X(5).  Author information: (1)Xiangya School of Nursing, Central South University, 172 Tong Zi Po Road,  Changsha, 410013, Hunan, China. (2)Department of Medical Microbiology, Central South University, Changsha,  410078, Hunan, China. (3)National Academy of Medical Science, Bir Hospital (NAMS), Mahaboudha,  Kathmandu, Nepal. (4)Philip R. Lee Institute for Health Policy Studies, University of California,  San Francisco, CA, USA. (5)Xiangya School of Nursing, Central South University, 172 Tong Zi Po Road,  Changsha, 410013, Hunan, China. xianhong_li@csu.edu.cn.  BACKGROUND: A number of previous studies have explored international students'  adaptation process with regards to language, lifestyle, food, and environment.  However, there have yet been no studies conducted to address the menstrual  symptoms challenges faced by international female students during the  acculturation period. Thus, this study aims to describe the prevalence of  menstrual symptoms change and to explore the influencing factors among  international female students studying in China during the acculturation period. METHODS: An online cross sectional study was conducted among international  female students studying in China during the acculturation period (defined as  the first six months of living in the host country) in Hunan Province of China  from March 2019 to July 2019. Menstrual symptoms questionnaire, sociocultural  adaptation scale, China higher education student satisfaction scale, perceived  stress scale, and Pittsburgh sleep quality index were used for data collection.  Descriptive analysis, ANOVA, paired t-test, Pearson correlation, and  multivariate linear regressions were used to analyze the data using SPSS 21.0  software. RESULTS: Three hundred and forty-five (97.18%, 345/355) female students from 45  countries fully completed the questionnaire. The mean age of the participants  was (26.59 ± 6.439) years. In total, 18.49% of participants had encountered  menstrual symptoms change. There were significant differences in the menstrual  symptoms score between before arrival and evaluation during the first six months  of living in China (t = - 11.700, p = 0.000). The main menstrual symptoms change  included cramps (17.68%), irritation (14.78%), abdominal pain (12.46%), fatigue  (12.46%), and headaches (9.85%). Cultural adaptation level (β = 0.198, 95% CI:  0.934, 2.995), sleep quality (β = 0.166, 95% CI: 0.112, 0.496), perceived stress  (β = 0.193, 95% CI: 0.123, 0.410), time spent in the host environment,  (β = - 0.270, 95% CI: - 3.200, - 1.444) and experience of visiting foreign  countries (β = 0.184, 95% CI: 1.134, 4.125) were significantly correlated with  menstrual symptoms change. CONCLUSION: The prevalence of menstrual symptoms change among international  female students should not be overlooked when considering menstrual health in  this population. Poorer cultural adaptation, poorer sleep quality, higher  stress, and lack of overseas living experiences significantly influence the  menstrual symptoms of international female students studying in China.  © 2022. The Author(s).  DOI: 10.1186/s12905-022-01897-6 PMCID: PMC9310410 PMID: 35879750 [Indexed for MEDLINE]  Conflict of interest statement: Authors have no conflicts of interest."
