ID,Title,Authors,Abstract
39150916,"Self-reported menses physiology is positively modulated by a well-formulated, energy-controlled ketogenic diet vs. low fat diet in women of reproductive age with overweight/obesity.","Kackley ML, Buga A, Brownlow ML, O'Connor A, Sapper TN, Crabtree CD, Robinson BT, Stoner JT, Decker DD, Soma L, Volek JS","1. PLoS One. 2024 Aug 16;19(8):e0293670. doi: 10.1371/journal.pone.0293670.  eCollection 2024.  Self-reported menses physiology is positively modulated by a well-formulated,  energy-controlled ketogenic diet vs. low fat diet in women of reproductive age  with overweight/obesity.  Kackley ML(1), Buga A(1), Brownlow ML(2), O'Connor A(2), Sapper TN(1), Crabtree  CD(1), Robinson BT(1), Stoner JT(1), Decker DD(1), Soma L(3), Volek JS(1).  Author information: (1)Department of Kinesiology, The Ohio State University, Columbus, Ohio, United  States of America. (2)Metagenics, Inc., Aliso Viejo, California, United States of America. (3)Department of Obstetrics and Gynecology, The Ohio State University, Columbus,  Ohio, United States of America.  Weight loss can positively alter female physiology; however, whether dietary  carbohydrate- or fat- restriction confer unique effects is less studied.  Precisely designed, hypocaloric well-formulated ketogenic diets (KD; ~75% energy  for weight maintenance) were compared to isocaloric/isonitrogenous low-fat diet  (LFD) on self-reported menses in pre-menopausal overweight and obese women (mean  ± SD: 34 ± 10 years, BMI: 32.3 ± 2.7 kg/m2). Women received a precisely-weighed  and formulated KD with either twice-daily with ketone salts (KS; n = 6) or a  flavor-matched placebo (PL; n = 7) daily for six-weeks. An age and BMI-matched  cohort (n = 6) was later assigned to the LFD and underwent the same testing  procedures as the KD. Self-reported menses fluctuations were assessed bi-weekly  along with measures of body weight, body composition, and fasting serum clinical  chemistries using repeated measures ANOVA with Bonferroni post-hoc corrections.  Both diets elicited clinically-significant weight-loss (Δ: -7.0 ± 0.5 kg; p <  0.001), primarily from fat-mass (Δ: -4.6 ± 0.3 kg; p < 0.001), and improved  insulin-sensitivity and serum lipids (all p < 0.05). Fasting plasma glucose and  inflammatory markers were not different between diets. Fasting capillary  beta-hydroxybutyrate (R-βHB) increased significantly during the KD, independent  of supplementation (Δ: 1.2 ± 0.3 mM R-βHB; p < 0.001). Women randomized to the  KD+KS (30%) and KD+PL (43%) reported subjective increases in menses frequency  and intensity after 14 days, whereas another third reported a regain of menses  (>1 year since the last period) after 28 days. No LFD participants reported  menses changes. Nutrient-dense, whole-food KDs and LFD improved weight, BMI,  body composition, and blood parameters in pre-menopausal women after six-weeks.  Changes in self-reported menses were described by most of the KD participants,  but none of the LFD women suggesting there may be unique effects of nutritional  ketosis, independent of weight loss.  Copyright: © 2024 Kackley et al. This is an open access article distributed  under the terms of the Creative Commons Attribution License, which permits  unrestricted use, distribution, and reproduction in any medium, provided the  original author and source are credited.  DOI: 10.1371/journal.pone.0293670 PMCID: PMC11329152 PMID: 39150916 [Indexed for MEDLINE]  Conflict of interest statement: JV receives royalties for low-carbohydrate  nutrition books; is founder, consultant, and stockholder of Virta Health, Inc.  and is a member of the advisory boards for Simply Good Foods. The remaining  authors declare that the research was conducted in the absence of any commercial  or financial relationships that could be construed as a potential conflict of  interest. This does not alter our adherence to PLOS ONE policies on sharing data  and materials."
38941548,Contemporary Issue: Health and Safety of Female Wrestlers.,"Jagim AR, Moschelli JS, Woodroffe LM, Horswill CA, Bloomfield SA, Oppliger RA","1. Curr Sports Med Rep. 2024 Jul 1;23(7):262-269. doi:  10.1249/JSR.0000000000001183.  Contemporary Issue: Health and Safety of Female Wrestlers.  Jagim AR(1), Moschelli JS(2), Woodroffe LM(3), Horswill CA(4), Bloomfield SA(5),  Oppliger RA(6).  Author information: (1)Sports Medicine, Mayo Clinic Health System, La Crosse, WI. (2)Sports Medicine and Orthopedics, Michigan State University, East Lansing, MI. (3)Sports Medicine, University of Iowa, Iowa City, IA. (4)Kinesiology and Nutrition, University of Illinois at Chicago, Chicago, IL. (5)Kinesiology and Sport Management, Texas A&M University - College Station, TX. (6)FACSM Emeritus, Iowa City, IA.  Female wrestling has grown exponentially over the past decade. Within the United  States, 46 states now recognize female high school wrestling, and 153 colleges  have programs. It is on track to become an NCAA championship-level sport in  2026. A primary health and safety risk among this cohort pertains to rapid  weight loss strategies. These can lead to intentional caloric restriction and  decreased body fatness, with the perceived goal of attaining a competitive  advantage. Low energy availability and low body fatness are associated with a  number of health concerns including menstrual dysfunction and loss of bone  mineral density in girls and women. The current recommendation of 12% as a  minimum for percentage body fat is very likely too low, opening the door for  health perturbations among this population. The minimum threshold might more  appropriately fall within the range of 18% to 20%. Body fat assessment methods,  primarily skinfold measures that are used to guide weight class selection, have  not been adequately validated among this population and therefore should be an  area of research focus, while also exploring alternative assessment techniques.  Further, we recommend that weight cycling, restrictive energy intake, and  intentional dehydration be avoided. Research should assess the effects of  frequent weight cycling (to ""make weight"") and prolonged periods of low body fat  on the reproductive and bone health of these athletes. Finally, research and  clinical evaluations on female wrestlers are limited, and we offer a list of  research priorities for future investigation into this contemporary issue.  Copyright © 2024 by the American College of Sports Medicine.  DOI: 10.1249/JSR.0000000000001183 PMID: 38941548 [Indexed for MEDLINE]"
38848428,Menstrual cycle disorders as an early symptom of energy deficiency among female physique athletes assessed using the Low Energy Availability in Females Questionnaire (LEAF-Q).,"Witkoś J, Luberda E, Błażejewski G, Strój E","1. PLoS One. 2024 Jun 7;19(6):e0303703. doi: 10.1371/journal.pone.0303703.  eCollection 2024.  Menstrual cycle disorders as an early symptom of energy deficiency among female  physique athletes assessed using the Low Energy Availability in Females  Questionnaire (LEAF-Q).  Witkoś J(1), Luberda E(1), Błażejewski G(1), Strój E(1).  Author information: (1)Faculty of Medicine and Health Science, Andrzej Frycz Modrzewski Krakow  University, Kraków, Poland.  Physique competitions are weight-sensitive sports in which stage presentation,  aesthetic appearance and posing ability of the athletes are judged rather than  physical performance. The aim of this study was to assess low energy  availability among female physique athletes by using the LEAF-Q. The study  involved 104 females who were physique athletes. Monthly cycle disorders were  reported in 58.65% of the women, that is periods stopped for three consecutive  months or longer (amenorrhea). This situation occurred before the research was  conducted in 43.27% of athletes and during the research in 15.38%. The physique  athletes claimed that menstruation changes occurred when there was an increased  exercise intensity, frequency or duration. Absence from training due to injury  was reported by 27.88% of the women. The LEAF-Q identified 46.15% of the  physique athletes as at risk (score ≥ 8) of low energy availability and the  physiological consequences related to RED-S. Women who had menstrual cycle  disorders were younger and did more training per week. Among women with  menstrual disorders, cramps or stomach ache which cannot be related to  menstruation occurred more frequently (p = 0.004). Absence from training or lack  of participation in competition due to injuries occurred more frequently in the  score ≥ 8 group (p = 0.024) thank the ≤ score 8 group. In the score ≥ 8 group  menstruation changes, that is less bleeding or cessation of menstruation (p =  0.035), occurred more frequently when there was an increase in exercise  intensity, frequency or duration (p = 0.002).  Copyright: © 2024 Witkoś et al. This is an open access article distributed under  the terms of the Creative Commons Attribution License, which permits  unrestricted use, distribution, and reproduction in any medium, provided the  original author and source are credited.  DOI: 10.1371/journal.pone.0303703 PMCID: PMC11161107 PMID: 38848428 [Indexed for MEDLINE]  Conflict of interest statement: NO authors have competing interests."
36904082,Effects of a 16-Week Digital Intervention on Sports Nutrition Knowledge and Behavior in Female Endurance Athletes with Risk of Relative Energy Deficiency in Sport (REDs).,"Fahrenholtz IL, Melin AK, Garthe I, Hollekim-Strand SM, Ivarsson A, Koehler K, Logue D, Lundström P, Madigan S, Wasserfurth P, Torstveit MK","1. Nutrients. 2023 Feb 21;15(5):1082. doi: 10.3390/nu15051082.  Effects of a 16-Week Digital Intervention on Sports Nutrition Knowledge and  Behavior in Female Endurance Athletes with Risk of Relative Energy Deficiency in  Sport (REDs).  Fahrenholtz IL(1), Melin AK(2), Garthe I(3), Hollekim-Strand SM(4), Ivarsson  A(1)(5), Koehler K(6), Logue D(7), Lundström P(8)(9), Madigan S(7), Wasserfurth  P(6), Torstveit MK(1).  Author information: (1)Department of Sport Science and Physical Education, University of Agder, 4630  Kristiansand, Norway. (2)Department of Sport Science, Linnaeus University, 35252 Växjö, Sweden. (3)The Norwegian Olympic and Paralympic Committee and Confederation of Sport,  0854 Oslo, Norway. (4)Department of Neuromedicine and Movement Science, Norwegian University of  Science and Technology, 7034 Trondheim, Norway. (5)School of Health and Welfare, Halmstad University, 30118 Halmstad, Sweden. (6)Department of Sport and Health Sciences, Technical University of Munich,  80809 Munich, Germany. (7)Sport Ireland Institute, Sport Ireland Campus, Abbotstown, D15 PNON Dublin,  Ireland. (8)Department of Health Science, Karlstad University, 65188 Karlstad, Sweden. (9)Department of Molecular Medicine and Surgery, Karolinska Institute, 17176  Stockholm, Sweden.  Female endurance athletes are considered a high-risk group for developing  Relative Energy Deficiency in Sport (REDs). Due to the lack of educational and  behavioral intervention studies, targeting and evaluating the effects of the  practical daily management of REDs, we developed the Food and nUtrition for  Endurance athletes-a Learning (FUEL) program, consisting of 16 weekly online  lectures and individual athlete-centered nutrition counseling every other week.  We recruited female endurance athletes from Norway (n = 60), Sweden (n = 84),  Ireland (n = 17), and Germany (n = 47). Fifty athletes with symptoms of REDs and  with low risk of eating disorders, with no use of hormonal contraceptives and no  chronic diseases, were allocated to either the FUEL intervention (n = 32) (FUEL)  or a 16-week control period (n = 18) (CON). All but one completed FUEL, while 15  completed CON. We found strong evidence for improvements in sports nutrition  knowledge, assessed via interviews, and moderate to strong evidence in the  ratings concerning self-perceived sports nutrition knowledge in FUEL versus CON.  Analyses of the seven-day prospective weighed food record and questions related  to sports nutrition habits, suggested weak evidence for improvements in FUEL  versus CON. The FUEL intervention improved sports nutrition knowledge and  suggested weak evidence for improved sports nutrition behavior in female  endurance athletes with symptoms of REDs.  DOI: 10.3390/nu15051082 PMCID: PMC10005555 PMID: 36904082 [Indexed for MEDLINE]  Conflict of interest statement: The authors declare no conflict of interest."
36106664,Where do you go when your periods go?: A case-study examining secondary amenorrhea in a professional internationally-capped female soccer player through the lens of the sport nutritionist.,"Parker LJF, Elliott-Sale KJ, Hannon M, Morton JP, Close GL","1. Sci Med Footb. 2022 Dec 1;6(5):643-649. doi: 10.1080/24733938.2022.2123555.  Where do you go when your periods go?: A case-study examining secondary  amenorrhea in a professional internationally-capped female soccer player through  the lens of the sport nutritionist.  Parker LJF(1)(2), Elliott-Sale KJ(2), Hannon M(1), Morton JP(1)(3), Close  GL(1)(3).  Author information: (1)Research Institute for Sport and Exercise Sciences, Liverpool John Moores  University, Liverpool, UK. (2)Everton Football Club, USM Finch Farm, Liverpool, Halewood, UK. (3)Musculoskeletal Physiology Research Group, Sport Health and Performance  Enhancement Research Centre, Nottingham Trent University, Nottingham, UK.  This case study follows a professional internationally capped female soccer  player's two-year journey from eumenorrhea, through injury, to amenorrhea, and  the challenges faced by the player and nutritionist. The two years are split  into three sections: (Areta et al. 2013) longitudinal profiling of the player,  (Baker et al. 2020) nutrition to support her return from injury, and (Beato et  al. 2018) investigation into the observed secondary amenorrhea. The cause of  amenorrhea was investigated through the assessment of energy availability via  doubly labelled water, remote food photography, blood biomarkers and resting  metabolic rate. Despite having secondary amenorrhea and anovulatory cycles, the  player did not have low energy availability. This study shows the importance for  practitioner's, particularly nutritionists, to not assume that all menstrual  irregularities are caused by low energy availability and could be caused by a  combination of factors (e.g., clinical, physiological, and psychological), which  requires a multi-disciplinary investigation and intervention team. This study  also showed that education needs to be provided about menstrual health to elite  female soccer players as the player (i) believed that not having a period was  beneficial for performance and unsure of possible health implications; (ii) was  convinced that a one-day bleed indicated a regular menstrual cycle; and (iii)  was reluctant to waste the practitioners time discussing menstrual issues and  was nervous of finding out if she had an actual health issue. It is therefore  crucial that players feel comfortable in discussing their menstrual status with  practitioners to support their performance and long-term health.  DOI: 10.1080/24733938.2022.2123555 PMID: 36106664 [Indexed for MEDLINE]"
35839365,Care of the Active Female.,"Wojnowich K, Dhani R","1. Am Fam Physician. 2022 Jul;106(1):52-60.  Care of the Active Female.  Wojnowich K, Dhani R.  Physical activity has many health-related benefits, including prevention and  management of chronic disease, weight management, and improved mental health.  Active girls and women of all ages and abilities are at risk of relative energy  deficiency in sport, a syndrome encompassing low energy availability, menstrual  irregularities, and disordered bone metabolism. Presence of amenorrhea or  oligomenorrhea may suggest reduced energy availability. Active females are at  risk of overuse injuries, including patellofemoral pain syndrome, iliotibial  band syndrome, and stress fractures; treatment usually includes activity  modification, a period of rest, and physical therapy. Active females are also at  risk of acute injuries, including concussion and anterior cruciate ligament  injuries. Pregnant patients without contraindications who were physically active  before pregnancy can continue these activities, and those who were not  previously active may gradually increase their activity level to a goal of 150  minutes per week. Moderate exercise during pregnancy reduces the risk of  gestational diabetes mellitus, preeclampsia, and cesarean delivery. Postpartum  exercise focused on core and pelvic floor strengthening can improve pelvic floor  dysfunction. Supervised exercise programs focused on strength and balance have  been consistently shown to reduce the risk of falls and injurious falls in older  women.  PMID: 35839365 [Indexed for MEDLINE]"
34253613,Socioeconomic development predicts a weaker contraceptive effect of breastfeeding.,"Todd N, Lerch M","1. Proc Natl Acad Sci U S A. 2021 Jul 20;118(29):e2025348118. doi:  10.1073/pnas.2025348118.  Socioeconomic development predicts a weaker contraceptive effect of  breastfeeding.  Todd N(1)(2), Lerch M(3)(4).  Author information: (1)Laboratory of Population Health, Max Planck Institute for Demographic  Research, 18057 Rostock, Germany; nicolas.todd@sorbonne-universite.fr. (2)Centre Roland Mousnier, CNRS, Sorbonne Université, 75005 Paris, France. (3)Laboratory of Urban Sociology, Ecole Polytechnique Fédérale de Lausanne,  CH-1015 Lausanne, Switzerland. (4)Laboratory of Fertility and Well-Being, Max Planck Institute for Demographic  Research, 18057 Rostock, Germany.  The contraceptive effect of breastfeeding remains essential to controlling  fertility in many developing regions of the world. The extent to which this  negative effect of breastfeeding on ovarian activity is sensitive to ecological  conditions, notably maternal energetic status, has remained controversial. We  assess the relationship between breastfeeding duration and postpartum amenorrhea  (the absence of menstruation following a birth) in 17 World Fertility Surveys  and 284 Demographic Health Surveys conducted between 1975 and 2019 in 84 low-  and middle-income countries. We then analyze the resumption of menses in women  during unsupplemented lactation. We find that a sharp weakening of the  breastfeeding-postpartum amenorrhea relationship has globally occurred over the  time period analyzed. The slope of the breastfeeding-postpartum amenorrhea  relationship is negatively associated with development: higher values of the  Human Development Index, urbanization, access to electricity, easier access to  water, and education are predictive of a weaker association between  breastfeeding and postpartum amenorrhea. Low parity also predicts shorter  postpartum amenorrhea. The association between exclusive breastfeeding and  maintenance of amenorrhea in the early postpartum period is also found in rapid  decline in Asia and in moderate decline in sub-Saharan Africa. These findings  indicate that the effect of breastfeeding on ovarian function is partly mediated  by external factors that likely include negative maternal energy balance and  support the notion that prolonged breastfeeding significantly helps control  fertility only under harsh environmental conditions.  Copyright © 2021 the Author(s). Published by PNAS.  DOI: 10.1073/pnas.2025348118 PMCID: PMC8307660 PMID: 34253613 [Indexed for MEDLINE]  Conflict of interest statement: The authors declare no competing interest."
33084213,Advancement in female sports medicine and preventive medicine.,Nose-Ogura S,"1. J Obstet Gynaecol Res. 2021 Feb;47(2):476-485. doi: 10.1111/jog.14523. Epub 2020  Oct 20.  Advancement in female sports medicine and preventive medicine.  Nose-Ogura S(1).  Author information: (1)Department of Obstetrics and Gynecology, The University of Tokyo, Tokyo,  Japan.  Sport plays a major role in maintaining and improving physical function and  health of women from adolescence to sexual maturity, through to menopause and  old age, and it also plays a key role in social productivity and medicine from  the perspective of preventive medicine. However, in routine clinical practice,  there are many gynecological problems that affect the condition and performance  of female athletes due to a lack of appropriate medical intervention, such as  neglect of amenorrhea and menstruation-related symptoms. In addition, the number  of athletes aiming to return to competition post-partum has been increasing in  recent years, but there is little medical data on the well-being of female  athletes during pregnancy and the post-partum period. I previously conducted  clinical research on three separate topics, with the aim of clarifying the  current issues unique to female athletes, mainly in terms of conditioning and  injury prevention. The goal was that clinical research was to examine the  situation of athletes with and without disabilities and provide feedback from  the survey results to athletes and coaches. This paper divides the clinical  studies conducted to date into three topics that will be explored herein: (i)  research on the female athlete triad (Triad); (ii) research on oral  contraceptives/low-dose estrogen-progestin; and (iii) research on pregnancy and  post-partum period.  © 2020 Japan Society of Obstetrics and Gynecology.  DOI: 10.1111/jog.14523 PMID: 33084213 [Indexed for MEDLINE]"
32502379,Female Athlete Triad Coalition cumulative risk assessment tool: proposed alternative scoring strategies.,"Koltun KJ, Williams NI, De Souza MJ","1. Appl Physiol Nutr Metab. 2020 Dec;45(12):1324-1331. doi: 10.1139/apnm-2020-0131.  Epub 2020 Jun 5.  Female Athlete Triad Coalition cumulative risk assessment tool: proposed  alternative scoring strategies.  Koltun KJ(1)(1), Williams NI(1)(1), De Souza MJ(1)(1).  Author information: (1)Women's Health and Exercise Lab, Department of Kinesiology, College of Health  and Human Development, The Pennsylvania State University, PA 16803, USA.  We (i) identified alternative scoring strategies for the Female Athlete Triad  Coalition cumulative risk assessment (CRA) tool to be utilized when particular  risk factors (bone mineral density (BMD), oligomenorrhea/amenorrhea) cannot be  determined; (ii) objectively defined dietary restriction for use in the CRA  tool; and (iii) explored proxy measures of energy deficiency. This  cross-sectional investigation of exercising women (n = 166) utilized an existing  database derived from multiple studies designed to assess health, exercise, and  menstrual function. Data from the screening/baseline period of each study  included: anthropometrics, dual-energy X-ray absorptiometry, disordered eating  questionnaires, descriptive data, and proxy measures of energy deficiency (total  triiodothyronine (TT3) and ratio of measured-to-predicted resting metabolic rate  (mRMR/pRMR)). Substituting delayed menarche for BMD was the best-fit replacement  resulting in 15 (9%) participants being categorized in different clearance  categories. When menstrual status cannot be assessed, such as during hormonal  contraceptive use, low energy availability (EA) determined using self-report and  disordered eating questionnaires was the best substitution, resulting in 34  (20%) participants being categorized in different clearance categories. Based on  original clearance categorizations, the provisional group had lower TT3 (78.3 ±  2.2 ng/dL; 92.7 ± 2.7 ng/dL) and Harris-Benedict mRMR/pRMR (0.85 ± 0.01; 0.90 ±  0.01) than the full group. Until an updated risk assessment tool is developed,  delayed menarche can substitute for low BMD and low EA for  oligomenorrhea/amenorrhea. Novelty This investigation addresses previous  limitations of the Triad CRA tool. Disordered eating questionnaires can be used  to objectively identify dietary restriction for the low EA risk factor. When a  risk factor cannot be assessed, delayed menarche can substitute for low BMD and  low EA for oligomenorrhea/amenorrhea.  DOI: 10.1139/apnm-2020-0131 PMID: 32502379 [Indexed for MEDLINE]"
31941004,Menopause-Associated Lipid Metabolic Disorders and Foods Beneficial for Postmenopausal Women.,"Ko SH, Kim HS","1. Nutrients. 2020 Jan 13;12(1):202. doi: 10.3390/nu12010202.  Menopause-Associated Lipid Metabolic Disorders and Foods Beneficial for  Postmenopausal Women.  Ko SH(1), Kim HS(1).  Author information: (1)Department of Food and Nutrition, College of Human Ecology, Sookmyung Women's  University, Seoul 04310, Korea.  Menopause is clinically diagnosed as a condition when a woman has not  menstruated for one year. During the menopausal transition period, there is an  emergence of various lipid metabolic disorders due to hormonal changes, such as  decreased levels of estrogens and increased levels of circulating androgens;  these may lead to the development of metabolic syndromes including  cardiovascular diseases and type 2 diabetes. Dysregulation of lipid metabolism  affects the body fat mass, fat-free mass, fatty acid metabolism, and various  aspects of energy metabolism, such as basal metabolic ratio, adiposity, and  obesity. Moreover, menopause is also associated with alterations in the levels  of various lipids circulating in the blood, such as lipoproteins,  apolipoproteins, low-density lipoproteins (LDLs), high-density lipoproteins  (HDL) and triacylglycerol (TG). Alterations in lipid metabolism and excessive  adipose tissue play a key role in the synthesis of excess fatty acids,  adipocytokines, proinflammatory cytokines, and reactive oxygen species, which  cause lipid peroxidation and result in the development of insulin resistance,  abdominal adiposity, and dyslipidemia. This review discusses dietary  recommendations and beneficial compounds, such as vitamin D, omega-3 fatty  acids, antioxidants, phytochemicals-and their food sources-to aid the management  of abnormal lipid metabolism in postmenopausal women.  DOI: 10.3390/nu12010202 PMCID: PMC7019719 PMID: 31941004 [Indexed for MEDLINE]  Conflict of interest statement: The authors declare no conflict of interest."
